stat,type,hash,time,exacttime,device,filesizeGib,fill,usedfilesize,pattern,patternDetails,rate,expRate,writepercent,bs,writesTotal,readsTotal,writeIOPS,readIOPS,writesMBs,readsMBs,physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes,phyWriteMBs, phyReadMBs,percentFreeBlocks,softECCError,unalignedIO,maxUserDataEraseCount,minUserDataEraseCount,currentThrottlingStatus,wa
keep,ssd,2024-08-31-18-21-35,0,0,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,0,0,0,0,0,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,1,1.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,382539,0,382539,0,1494,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,2,2.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,774413,0,391874,0,1530,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,3,3.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,1154908,0,391874,0,1530,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,4,4.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,1545896,0,380730,0,1487,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,5,5.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,1928936,0,382794,0,1495,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,6,6.00006,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,2317748,0,388812,0,1518,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,7,7.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,2704819,0,387071,0,1511,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,8,8.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,3091609,0,386608,0,1510,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,9,9.00012,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,3478425,0,386998,0,1511,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,10,10.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,3865809,0,387384,0,1513,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,11,11.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,4253841,0,387384,0,1513,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,12,12.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,4639062,0,384965,0,1503,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,13,13.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,5027071,0,387757,0,1514,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,14,14.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,5411772,0,384953,0,1503,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,15,15.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,5796332,0,384953,0,1503,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
keep,ssd,2024-08-31-18-21-35,16,16.0001,/blk/intel1,1788,1,1788.5,fiozipf-shuffle,"0.800000",0,1,1,4096,6175299,0,384816,0,1503,0,1928022033858560,892004307308544,0,0,99,19618,0,1056,917,0,0
