stat,type,hash,time,exacttime,device,filesizeGib,fill,usedfilesize,pattern,patternDetails,rate,expRate,writepercent,bs,writesTotal,readsTotal,writeIOPS,readIOPS,writesMBs,readsMBs,physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes,phyWriteMBs, phyReadMBs,percentFreeBlocks,softECCError,unalignedIO,maxUserDataEraseCount,minUserDataEraseCount,currentThrottlingStatus,wa
keep,ssd,2024-08-29-05-59-11,0,0,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,0,0,0,0,0,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,1,1.00009,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,0,0,0,0,0,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,2,2.00008,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,774270,0,390306,0,1524,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,3,3.00009,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,1158368,0,390306,0,1524,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,4,4.00005,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,1548109,0,389485,0,1521,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,5,5.00004,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,1931863,0,389485,0,1521,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,6,6.00008,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,2322007,0,384010,0,1500,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,7,7.00011,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,2706463,0,390144,0,1524,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,8,8.00009,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,3090491,0,384451,0,1501,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,9,9.00011,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,3471579,0,380832,0,1487,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,10,10.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,3857289,0,385710,0,1506,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,11,11.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,4240617,0,385710,0,1506,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,12,12.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,4626752,0,385879,0,1507,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,13,13.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,5012562,0,385552,0,1506,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,14,14.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,5397236,0,385552,0,1506,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,15,15.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,5783516,0,386024,0,1507,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,16,16,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,6165323,0,381807,0,1491,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,17,17.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,6551671,0,381807,0,1491,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,18,18.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,6933809,0,386472,0,1509,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,19,19.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,7320274,0,382270,0,1493,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,20,20.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,7704710,0,384180,0,1500,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,21,21.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,8092001,0,384180,0,1500,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,22,22.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,8475909,0,383652,0,1498,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,23,23,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,8861655,0,383652,0,1498,0,1657469520150528,783191555477504,0,0,100,19353,0,872,813,0,0
keep,ssd,2024-08-29-05-59-11,24,24.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,9245073,0,385937,0,1507,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,25,25.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,9633346,0,383458,0,1497,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,26,26.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,10017497,0,383895,0,1499,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,27,27.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,10407329,0,389832,0,1522,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,28,28.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,10789371,0,382042,0,1492,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,29,29,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,11179181,0,382042,0,1492,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,30,30.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,11563213,0,390066,0,1523,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,31,31,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,11952562,0,389093,0,1519,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,32,32,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,12334411,0,381849,0,1491,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,33,33.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,12724187,0,381849,0,1491,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,34,34.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,13105877,0,381101,0,1488,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,35,35.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,13494073,0,381101,0,1488,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,36,36.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,13877491,0,388725,0,1518,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,37,37.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,14264521,0,383478,0,1497,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,38,38.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,14648135,0,386859,0,1511,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,39,39.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,15031332,0,382941,0,1495,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,40,40.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,15417359,0,386027,0,1507,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,41,41.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,15803039,0,386027,0,1507,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,42,42.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,16188670,0,385936,0,1507,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,43,43.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,16572023,0,385586,0,1506,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,44,44.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,16958796,0,383398,0,1497,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,45,45.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,17342329,0,383277,0,1497,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,46,46.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,17729172,0,383277,0,1497,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,47,47.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,18114305,0,387099,0,1512,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,48,48.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,18500770,0,385133,0,1504,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,49,49.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,18881704,0,386465,0,1509,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,50,50.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,19268731,0,380898,0,1487,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,51,51.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,19653340,0,384404,0,1501,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,52,52.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,20040606,0,384404,0,1501,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,53,53.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,20422554,0,381692,0,1490,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,54,54.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,20810059,0,381692,0,1490,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
keep,ssd,2024-08-29-05-59-11,55,55.0001,/blk/intel1,1788,1,1788.5,zipf-shuffle,"0.800000",0,1,1,4096,21193783,0,387687,0,1514,0,1657469520150528,783191555477504,0,0,100,19353,0,873,813,0,0
