stat,type,hash,time,exacttime,device,filesizeGib,fill,usedfilesize,pattern,patternDetails,rate,expRate,writepercent,bs,writesTotal,readsTotal,writeIOPS,readIOPS,writesMBs,readsMBs,physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes,phyWriteMBs, phyReadMBs,percentFreeBlocks,softECCError,unalignedIO,maxUserDataEraseCount,minUserDataEraseCount,currentThrottlingStatus,wa
keep,ssd,2024-08-29-02-08-07,0,1.41561e-07,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,0,0,0,0,0,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,1,1.00013,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,3901,0,3899,0,1949,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,2,2.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,7990,0,4089,0,2044,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,3,3.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,12019,0,4030,0,2015,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,4,4.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,15924,0,3905,0,1952,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,5,5.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,19947,0,4023,0,2011,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,6,6.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,23599,0,3652,0,1826,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,7,7.00008,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,27356,0,3757,0,1878,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,8,8.00012,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,31419,0,4063,0,2031,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
keep,ssd,2024-08-29-02-08-07,9,9.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,35004,0,3585,0,1792,0,1636194663366656,783096158744576,0,0,100,19331,0,866,798,0,0
