stat,type,hash,time,exacttime,device,filesizeGib,fill,usedfilesize,pattern,patternDetails,rate,expRate,writepercent,bs,writesTotal,readsTotal,writeIOPS,readIOPS,writesMBs,readsMBs,physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes,phyWriteMBs, phyReadMBs,percentFreeBlocks,softECCError,unalignedIO,maxUserDataEraseCount,minUserDataEraseCount,currentThrottlingStatus,wa
keep,ssd,2024-08-29-04-02-54,0,0,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,0,0,0,0,0,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,1,1.00005,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,435014,0,435014,0,1699,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,2,2.00006,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,873077,0,438063,0,1711,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,3,3.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,1308999,0,438063,0,1711,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,4,4.00007,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,1746437,0,437310,0,1708,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,5,5.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,2179109,0,432672,0,1690,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,6,6.00008,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,2613860,0,434751,0,1698,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,7,7.00008,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,3046147,0,434751,0,1698,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,8,8.00006,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,3481103,0,434828,0,1698,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,9,9.00006,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,3919396,0,438293,0,1712,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,10,10.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,4354960,0,438293,0,1712,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,11,11.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,4793097,0,438039,0,1711,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,12,12,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,5228644,0,435547,0,1701,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,13,13.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,5666785,0,438141,0,1711,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,14,14,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,6102605,0,435820,0,1702,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,15,15.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,6539080,0,436475,0,1704,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,16,16,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,6971670,0,436475,0,1704,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,17,17.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,7407736,0,435938,0,1702,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,18,18.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,7840616,0,432880,0,1690,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,19,19.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,8274507,0,433891,0,1694,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,20,20.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,8709764,0,433891,0,1694,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,21,21.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,9144396,0,434256,0,1696,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,22,22,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,9580480,0,436332,0,1704,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,23,23,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,10014971,0,434491,0,1697,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,24,24,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,10452966,0,437995,0,1710,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
keep,ssd,2024-08-29-04-02-54,25,25.0001,/blk/intel1,1788,1,1788.5,sequential-shuffle,"",0,1,1,4096,10886403,0,433437,0,1693,0,1646818342830080,783130633904128,0,0,100,19335,0,869,810,0,0
