hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-28-22-37-55,0,10,10.000305,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1506.554077,0.000000,385695.531250,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,493,537,549,558,568,577,590,606,616,629,659,963,1033,1123,1224,1450,1588,2220,3176,4026,4086,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,599,652,999,1042,1256
2024-08-28-22-37-55,0,20,9.999695,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1518.146362,0.000000,388666.375000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,502,540,551,559,568,576,588,603,612,623,643,938,1010,1102,1201,1399,1536,2099,2877,3273,3810,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,610,657,1015,1045,1066
2024-08-28-22-37-55,0,30,10.000427,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1517.135132,0.000000,388412.093750,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,501,541,551,559,569,577,589,604,613,625,645,935,1013,1106,1205,1407,1548,2126,2881,3618,3633,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,609,658,1014,1043,1063
2024-08-28-22-37-55,0,40,10.000061,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1516.690796,0.000000,388281.125000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,502,540,551,559,568,576,589,604,613,624,645,934,1015,1106,1206,1424,1551,2153,2950,3457,3795,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,607,657,1009,1046,1057
2024-08-28-22-37-55,0,50,9.999695,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1513.546143,0.000000,387476.312500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,499,539,551,559,568,577,590,605,614,626,649,948,1022,1113,1214,1434,1569,2118,2984,3618,3639,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,603,655,1014,1044,1062
2024-08-28-22-37-55,0,60,9.999878,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1511.218506,0.000000,386896.937500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,491,537,549,558,568,576,590,605,615,627,654,957,1032,1122,1225,1450,1572,2086,2963,3813,3828,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,603,654,1005,1040,1054
2024-08-28-22-37-55,0,70,10.000000,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1513.699951,0.000000,387514.812500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,498,539,550,559,568,576,589,604,614,626,649,952,1025,1114,1212,1442,1575,2094,2770,2971,3361,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,604,655,1015,1044,1062
2024-08-28-22-37-55,0,80,10.000183,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1517.172241,0.000000,388411.000000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,499,539,550,559,568,576,589,604,614,626,647,939,1015,1104,1201,1406,1536,2023,3089,4155,4329,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,612,660,1017,1045,1055
2024-08-28-22-37-55,0,90,10.000061,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1510.490723,0.000000,386705.937500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,496,538,550,559,568,577,590,605,615,627,651,956,1029,1116,1225,1452,1588,2263,3049,4060,4078,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,599,652,1002,1044,1088
2024-08-28-22-37-55,0,100,9.999756,/blk/intel1,1788,fiozipf-shuffle,"0.800000",0.000000,0.000000,1,1.000000,1507.736816,0.000000,385981.812500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,494,537,549,558,568,577,590,606,615,628,657,961,1033,1122,1232,1460,1594,2226,3370,3976,3989,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,598,652,1001,1045,1066
