hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-29-20-33-16,0,10,10.000097,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1682.083618,0.000000,430626.125000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,565,568,569,570,572,573,575,578,579,581,584,587,589,592,599,883,1212,1704,2097,2442,2603,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,594,597,605,636,665,771
2024-08-29-20-33-16,0,20,10.000332,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1686.644043,0.000000,431782.562500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,565,568,569,570,571,573,575,578,579,581,583,587,589,592,597,628,1090,1565,2005,2353,2487,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,587,592,596,599,609,639,671,782
2024-08-29-20-33-16,0,30,10.000118,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1686.380005,0.000000,431728.281250,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,565,567,569,570,571,573,575,578,579,581,583,587,589,591,597,624,1132,1588,2006,2228,2336,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,591,595,598,607,640,666,770
2024-08-29-20-33-16,0,40,9.999798,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1683.534058,0.000000,430997.500000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,565,568,569,570,571,573,575,578,579,581,583,587,589,592,598,885,1207,1670,2110,2848,3209,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,588,594,597,605,637,669,789
2024-08-29-20-33-16,0,50,9.999813,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1682.531494,0.000000,430728.437500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,565,567,569,570,571,573,575,578,579,581,584,587,589,593,601,891,1186,1690,2736,3504,3653,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,594,597,606,640,667,771
2024-08-29-20-33-16,0,60,10.000286,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1684.351807,0.000000,431207.656250,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,565,567,568,569,571,573,575,578,579,581,584,587,589,592,598,831,1175,1662,2211,2912,3284,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,589,594,597,606,636,671,767
2024-08-29-20-33-16,0,70,9.999619,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1686.364380,0.000000,431725.375000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,565,568,569,570,572,573,575,578,579,581,583,587,589,591,596,618,1102,1588,2009,2363,2505,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,591,595,598,606,635,663,778
2024-08-29-20-33-16,0,80,10.000565,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1685.204834,0.000000,431418.656250,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,565,568,569,570,572,574,576,578,579,581,584,587,589,592,597,636,1144,1579,2149,2434,2585,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,591,596,599,608,639,673,752
2024-08-29-20-33-16,0,90,9.999420,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1676.297241,0.000000,429146.187500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,565,568,569,570,572,574,576,578,580,582,584,588,590,594,609,1125,1382,1803,2233,2473,2680,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,592,595,603,634,659,790
2024-08-29-20-33-16,0,100,10.000389,/blk/intel1,1788,uniform,"",0.000000,0.000000,1,1.000000,1684.734497,0.000000,431308.312500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,565,568,569,570,572,573,575,578,579,581,584,587,589,592,597,767,1146,1618,2055,2365,2507,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,591,595,598,606,641,666,765
