hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-29-02-08-07,0,10,10.000001,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1941.099854,0.000000,3882.199707,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,126,135,136,137,147,191,232,291,336,378,431,493,535,591,693,809,874,1037,1448,1568,1729,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,80
2024-08-29-02-08-07,0,20,10.000002,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1953.499634,0.000000,3907.099365,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,127,128,142,189,231,285,335,378,434,501,545,599,690,815,894,1180,1543,1694,1771,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,185
2024-08-29-02-08-07,0,30,10.000004,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1956.699219,0.000000,3913.498535,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,127,130,147,195,233,291,334,375,423,484,520,580,707,836,886,1134,1573,1708,1816,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,158
2024-08-29-02-08-07,0,40,9.999998,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1971.100342,0.000000,3942.200684,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,128,131,155,202,237,294,332,368,413,470,506,561,651,771,847,1085,1399,2182,2524,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,152
2024-08-29-02-08-07,0,50,10.000008,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1949.198486,0.000000,3898.497070,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,127,130,148,195,234,293,337,378,430,493,532,589,688,792,863,1072,1447,1484,1592,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,156
2024-08-29-02-08-07,0,60,9.999977,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1912.204346,0.000000,3824.508789,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,125,126,127,129,146,193,234,301,344,389,442,505,550,609,737,866,943,1122,1674,1825,1844,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,151
2024-08-29-02-08-07,0,70,10.000038,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1904.992676,0.000000,3810.085449,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,128,131,155,206,243,306,343,383,435,498,537,595,702,834,909,1117,1411,1426,1687,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,154
2024-08-29-02-08-07,0,80,9.999977,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1915.804443,0.000000,3831.708740,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,128,132,159,209,244,307,342,379,429,487,526,578,683,808,881,1121,1392,1478,1491,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,155
2024-08-29-02-08-07,0,90,10.000008,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1918.798584,0.000000,3837.697021,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,125,126,127,131,154,203,238,303,343,384,434,494,533,587,699,826,905,1062,1490,1599,1665,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,149
2024-08-29-02-08-07,0,100,10.000008,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1947.698486,0.000000,3895.396973,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,127,130,151,199,235,294,334,374,424,485,525,583,693,826,898,1129,1479,1722,2525,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,173
2024-08-29-02-08-07,0,110,9.999985,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1935.902954,0.000000,3871.906006,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,125,126,128,131,155,203,238,298,337,376,425,489,529,585,687,803,877,1121,1426,1791,1912,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,166
2024-08-29-02-08-07,0,120,9.999992,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1899.601440,0.000000,3799.202881,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,137,138,139,141,154,203,240,300,342,380,432,492,533,589,684,804,876,1106,1510,1547,1796,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,152
2024-08-29-02-08-07,0,130,10.000015,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1946.097046,0.000000,3892.293945,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,137,138,139,140,146,177,225,282,335,379,431,491,532,589,684,796,862,1099,1489,1574,1634,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,149
2024-08-29-02-08-07,0,140,10.000015,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1891.397095,0.000000,3782.894287,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,137,138,139,141,151,198,234,293,340,383,434,498,544,608,719,852,905,1152,1478,1663,1683,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,149
2024-08-29-02-08-07,0,150,9.999985,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1975.103027,0.000000,3950.305908,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,137,138,138,140,145,173,221,273,322,368,423,489,530,588,684,786,842,1016,1245,1367,1664,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,152
2024-08-29-02-08-07,0,160,10.000000,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1969.599976,0.000000,3939.300049,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,137,138,138,140,146,177,223,273,322,369,424,490,532,589,685,792,853,1080,1395,1527,1588,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,150
2024-08-29-02-08-07,0,170,9.999985,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1930.703003,0.000000,3861.505859,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,137,138,139,141,152,197,232,287,332,372,425,486,527,587,685,805,865,1061,1382,1525,1597,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,149
2024-08-29-02-08-07,0,180,9.999985,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1943.502930,0.000000,3887.005859,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,137,137,138,139,146,176,223,279,330,375,433,503,551,613,699,795,860,1134,1541,1667,1691,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,149
