hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-30-05-27-15,0,10,9.999919,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1987.616089,0.000000,3975.332275,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,141,142,142,143,149,177,222,268,313,360,413,474,516,575,666,759,819,999,1336,1484,1515,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,137
2024-08-30-05-27-15,0,20,9.999957,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1937.208374,0.000000,3874.416748,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,141,142,142,143,150,186,230,284,330,371,424,487,528,584,678,782,845,1058,1349,1507,1617,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,212
2024-08-30-05-27-15,0,30,10.000055,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1975.289062,0.000000,3950.578125,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,141,141,142,143,150,187,230,281,325,366,414,470,505,553,631,725,799,994,1372,1552,1655,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,160
2024-08-30-05-27-15,0,40,9.999964,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1975.707153,0.000000,3951.414307,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,139,140,140,141,147,179,225,274,322,368,422,483,527,580,666,765,835,1067,1394,1469,1610,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,158
2024-08-30-05-27-15,0,50,10.000149,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1962.070801,0.000000,3924.241699,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,140,141,142,147,176,225,275,325,373,429,493,538,588,664,756,826,1059,1422,1478,1535,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,163
2024-08-30-05-27-15,0,60,9.999874,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1947.624512,0.000000,3895.349121,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,140,141,141,142,148,174,223,274,326,376,434,497,541,595,679,789,862,1100,1461,1654,1657,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,156
2024-08-30-05-27-15,0,70,9.999981,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1930.803711,0.000000,3861.707275,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,140,141,141,142,146,169,222,273,330,384,443,514,558,613,704,796,861,1109,1497,1546,1603,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,159
2024-08-30-05-27-15,0,80,10.000015,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1989.796997,0.000000,3979.593994,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,140,141,141,142,147,171,220,266,314,364,421,484,526,579,666,771,830,1024,1211,1514,1524,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,161
2024-08-30-05-27-15,0,90,9.999962,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1991.707642,0.000000,3983.415283,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,140,141,141,142,146,165,216,262,310,364,425,493,537,590,679,773,830,991,1397,1517,1663,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,160
2024-08-30-05-27-15,0,100,10.000114,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1986.977295,0.000000,3974.054443,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,140,141,141,142,146,165,216,264,315,365,421,487,537,596,685,790,844,995,1257,1528,1567,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,175
