hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-29-11-33-23,0,10,10.000051,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,2004.189697,0.000000,4008.379395,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,142,147,173,222,269,314,360,413,476,514,565,638,734,809,1002,1288,1411,1469,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,94
2024-08-29-11-33-23,0,20,9.999923,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1952.715088,0.000000,3905.430176,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,142,148,178,226,280,328,372,427,492,532,585,674,776,854,1035,1365,1556,1569,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,182
2024-08-29-11-33-23,0,30,9.999994,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1993.301147,0.000000,3986.702393,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,142,147,170,221,267,314,361,416,483,524,578,664,775,843,1002,1335,1471,1502,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,177
2024-08-29-11-33-23,0,40,10.000032,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1898.293823,0.000000,3796.587646,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,139,140,141,142,147,181,230,296,347,393,450,516,559,613,695,790,867,1024,1263,1474,1528,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,151
2024-08-29-11-33-23,0,50,9.999985,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1950.603027,0.000000,3901.206055,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,139,140,141,142,147,173,223,272,322,371,435,509,553,606,690,786,843,1088,1594,1717,1818,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,152
2024-08-29-11-33-23,0,60,9.999962,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1890.507202,0.000000,3781.014404,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,142,148,185,229,286,339,392,452,523,568,622,706,812,895,1169,1601,1681,1683,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,153
2024-08-29-11-33-23,0,70,10.000038,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1933.492676,0.000000,3866.985352,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,142,147,178,225,280,330,379,440,508,551,606,683,783,855,1055,1448,1497,1790,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,153
2024-08-29-11-33-23,0,80,9.999992,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1966.401489,0.000000,3932.802979,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,142,149,179,224,275,322,368,422,485,530,584,665,761,835,1076,1452,1532,1537,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,155
2024-08-29-11-33-23,0,90,10.000008,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1923.298584,0.000000,3846.597168,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,141,141,143,150,187,230,286,335,380,434,498,540,595,690,783,856,1031,1352,1513,1615,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,172
2024-08-29-11-33-23,0,100,9.999992,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1951.701538,0.000000,3903.403076,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,139,140,141,142,147,173,222,275,326,374,431,497,544,603,703,797,865,1044,1431,1551,1818,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,165
