stat,type,hash,time,exacttime,device,filesizeGib,fill,usedfilesize,pattern,patternDetails,rate,expRate,writepercent,bs,writesTotal,readsTotal,writeIOPS,readIOPS,writesMBs,readsMBs,physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes,phyWriteMBs, phyReadMBs,percentFreeBlocks,softECCError,unalignedIO,maxUserDataEraseCount,minUserDataEraseCount,currentThrottlingStatus,wa
keep,ssd,2024-08-30-22-26-35,0,1.19209e-07,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,0,0,0,0,0,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,1,1.00008,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,3932,0,3931,0,1965,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,2,2.00007,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,7803,0,3871,0,1935,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,3,3.00006,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,11511,0,3708,0,1854,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,4,4.00007,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,15223,0,3712,0,1856,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,5,5.00004,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,19296,0,4073,0,2036,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,6,6.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,23203,0,3907,0,1953,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,7,7.00009,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,27110,0,3907,0,1953,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,8,8.00004,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,31162,0,4052,0,2026,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,9,9.00007,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,35027,0,3865,0,1932,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,10,10.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,39033,0,4007,0,2003,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,11,11.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,43066,0,4032,0,2016,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,12,12.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,46659,0,3593,0,1796,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,13,13.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,50464,0,3806,0,1903,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,14,14.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,54367,0,3901,0,1950,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,15,15.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,58162,0,3796,0,1898,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,16,16.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,61928,0,3766,0,1883,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,17,17.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,65648,0,3720,0,1860,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,18,18.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,69684,0,4036,0,2018,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,19,19.0002,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,73638,0,3954,0,1977,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,20,20,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,77435,0,3798,0,1899,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,21,21.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,81519,0,4083,0,2041,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,22,22.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,85387,0,3868,0,1934,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,23,23.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,89363,0,3976,0,1988,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,24,24.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,93393,0,4030,0,2015,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,25,25,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,96951,0,3558,0,1779,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,26,26.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,100758,0,3807,0,1903,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,27,27.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,104698,0,3940,0,1970,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,28,28.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,108566,0,3869,0,1934,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,29,29.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,112600,0,4033,0,2016,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,30,30.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,116442,0,3842,0,1921,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,31,31.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,120414,0,3972,0,1986,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,32,32.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,124393,0,3979,0,1989,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
keep,ssd,2024-08-30-22-26-35,33,33.0001,/blk/intel1,1788,1,1788.5,sequential-noshuffle,"",0,1,1,524288,128056,0,3663,0,1831,0,1880535062970368,891066916687872,0,0,100,19584,0,1036,909,0,0
