hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-30-22-26-35,0,10,10.000012,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1951.597534,0.000000,3903.295166,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,137,138,138,140,149,191,231,285,328,368,416,478,517,579,688,821,894,1088,1438,1580,2100,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,77
2024-08-30-22-26-35,0,20,9.999968,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1920.106201,0.000000,3840.212402,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,136,137,138,140,156,204,239,295,336,374,423,484,522,578,679,814,881,1135,1499,1677,1798,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,179
2024-08-30-22-26-35,0,30,10.000080,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1950.284424,0.000000,3900.568848,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,121,136,137,139,155,202,238,296,334,370,418,478,514,572,661,779,845,1068,1386,1568,1606,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,155
2024-08-30-22-26-35,0,40,9.999958,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1922.608032,0.000000,3845.316162,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,121,136,137,138,147,187,231,289,336,379,433,498,545,616,742,877,947,1126,1445,1627,1638,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,152
2024-08-30-22-26-35,0,50,10.000050,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1967.390259,0.000000,3934.880371,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,136,137,138,140,156,201,235,288,328,363,410,467,504,551,646,770,835,1040,1333,1407,1412,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,149
2024-08-30-22-26-35,0,60,9.999939,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1921.111694,0.000000,3842.323486,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,125,137,138,140,160,208,242,303,341,376,423,478,513,569,662,786,867,1064,1390,1636,1856,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,150
2024-08-30-22-26-35,0,70,9.999989,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1962.802246,0.000000,3925.704590,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,136,137,138,140,153,198,232,286,328,367,415,474,508,563,657,763,823,1090,1524,1729,1750,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,154
2024-08-30-22-26-35,0,80,10.000023,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1921.695557,0.000000,3843.391113,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,136,137,138,139,147,189,232,291,340,382,436,498,540,596,692,806,877,1142,1365,1676,2152,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,149
2024-08-30-22-26-35,0,90,10.000000,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1940.199951,0.000000,3880.500000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,135,136,137,138,143,174,224,281,334,384,440,512,560,618,696,798,861,1028,1383,1618,1679,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,147
2024-08-30-22-26-35,0,100,9.999992,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1898.001465,0.000000,3796.102783,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,136,136,137,138,145,187,232,291,344,393,449,515,563,619,710,816,889,1064,1384,1469,1906,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,161
