hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-09-01-22-32-41,0,10,9.999901,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1935.219238,0.000000,3870.538330,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,144,144,145,146,150,173,223,271,316,366,429,502,547,606,698,810,894,1178,1494,1638,1749,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,159
2024-09-01-22-32-41,0,20,10.000017,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1925.296753,0.000000,3850.693359,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,144,145,145,146,152,182,227,279,330,377,434,497,536,590,671,762,830,1072,1615,1869,1991,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,188
2024-09-01-22-32-41,0,30,9.999979,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1973.804199,0.000000,3947.708252,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,144,144,145,146,151,175,222,269,314,364,417,479,519,572,655,755,822,1024,1296,1514,1652,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,180
2024-09-01-22-32-41,0,40,9.999992,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1972.301514,0.000000,3944.703125,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,144,144,145,146,150,171,220,266,309,362,419,487,532,585,669,763,822,1089,1452,1523,2013,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,154
2024-09-01-22-32-41,0,50,10.000008,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1904.198486,0.000000,3808.497070,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,144,145,145,146,151,183,229,283,330,376,432,505,553,615,702,793,862,1066,1328,1530,1555,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,156
2024-09-01-22-32-41,0,60,10.000004,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1925.299316,0.000000,3850.598633,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,143,144,145,146,151,179,226,279,329,374,427,496,539,598,693,804,871,1085,1467,1590,1618,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,158
2024-09-01-22-32-41,0,70,9.999996,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1936.300781,0.000000,3872.601562,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,143,144,144,145,150,177,225,276,326,376,433,498,540,592,672,763,850,1089,1634,1754,1863,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,156
2024-09-01-22-32-41,0,80,9.999977,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1892.104370,0.000000,3784.308594,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,143,144,145,146,151,181,228,283,338,391,448,518,560,612,693,791,862,1109,1380,1578,1582,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,155
2024-09-01-22-32-41,0,90,10.000031,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1894.494263,0.000000,3789.088379,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,144,144,145,146,151,181,229,284,339,390,447,515,556,608,691,779,841,1063,1574,1662,1686,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,178
2024-09-01-22-32-41,0,100,10.000000,/blk/intel1,1788,sequential-noshuffle,"",0.000000,0.000000,1,1.000000,1920.500000,0.000000,3841.100098,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,143,144,145,145,149,171,222,273,329,384,443,514,556,607,693,795,853,1089,1430,1516,1574,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,197
