hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-24-29,1,60,60.000523,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.382912,0.483329,12390.125000,126.482231,0.000000,r,180,2832,3427,3655,3870,4273,4649,4998,5416,5564,5649,5719,5804,5849,5904,5975,6044,6109,6216,6409,6409,6459,4490.125445,34075562.000000,7589,w,9,3416,3994,4231,4450,4848,5222,5590,5975,6184,6402,6533,6628,6683,6754,6837,6898,6931,6987,7045,7101,7117,5117.937472,3804746368.000000,743414,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,141,0.003481,3064348.000000,880198229
2024-09-11-03-24-29,1,120,59.999741,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.366875,0.483335,12381.936523,124.700539,0.000000,r,815,2851,3432,3665,3869,4232,4635,4997,5403,5552,5634,5710,5784,5828,5886,5961,6026,6097,6310,6589,6589,7693,4480.952419,33526486.000000,7482,w,836,3447,4023,4255,4464,4852,5219,5585,5959,6166,6386,6526,6622,6676,6743,6828,6891,6925,6989,8568,9056,9481,5122.895439,3805865619.000000,742913,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,419,0.003512,3084915.000000,878470537
2024-09-11-03-24-29,1,180,60.000183,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.349854,0.466665,12380.711914,122.716293,0.000000,r,998,2880,3413,3655,3869,4290,4670,5045,5410,5552,5638,5711,5792,5840,5897,5968,6041,6111,6236,6540,6540,7628,4497.171126,33112671.000000,7363,w,807,3435,4011,4240,4458,4851,5221,5594,5975,6181,6396,6534,6631,6685,6753,6832,6893,6927,6984,8179,8574,8732,5124.063132,3806384677.000000,742845,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,405,0.003523,3094489.000000,878297441
2024-09-11-03-24-29,1,240,59.999802,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.466827,0.483335,12408.157227,126.383751,0.000000,r,847,2845,3426,3650,3864,4248,4611,4990,5390,5544,5628,5701,5779,5827,5879,5951,6041,6110,6215,6309,6309,8913,4472.500989,33914975.000000,7583,w,817,3434,4005,4240,4450,4837,5208,5569,5951,6156,6380,6523,6621,6673,6739,6825,6889,6923,6987,8045,9865,9882,5111.593438,3805514864.000000,744487,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,395,0.003528,3098487.000000,878362745
2024-09-11-03-24-29,1,300,60.000061,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.749950,0.483333,12480.387695,124.366539,0.000000,r,795,2820,3376,3604,3832,4227,4577,4936,5327,5513,5617,5698,5777,5823,5875,5953,6031,6081,6220,6562,6562,7337,4444.869204,33167614.000000,7462,w,830,3415,3981,4212,4416,4801,5163,5532,5908,6115,6337,6507,6607,6660,6728,6817,6881,6916,6973,7051,8061,8076,5083.004747,3806275947.000000,748824,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,397,0.003547,3113109.000000,877770114
2024-09-11-03-24-29,1,360,59.999939,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.633385,0.483334,12454.045898,125.033463,0.000000,r,943,2831,3394,3637,3842,4234,4630,4966,5336,5510,5610,5688,5765,5813,5870,5950,6034,6090,6194,6334,6334,6345,4463.780592,33487282.000000,7502,w,859,3419,3998,4229,4440,4823,5181,5543,5921,6122,6340,6506,6605,6660,6727,6813,6881,6918,6977,7046,7138,7163,5093.383825,3805990316.000000,747242,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,401,0.003542,3110193.000000,878129582
2024-09-11-03-24-29,1,420,60.000031,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.549976,0.483333,12431.010742,124.983269,0.000000,r,960,2835,3401,3633,3846,4225,4608,4975,5364,5516,5615,5697,5780,5828,5885,5964,6035,6083,6223,6688,6688,7789,4463.170023,33469312.000000,7499,w,799,3431,3998,4228,4439,4825,5191,5555,5938,6143,6362,6518,6617,6673,6743,6826,6890,6924,6984,7157,7489,10706,5102.745813,3805939095.000000,745861,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,397,0.003539,3106763.000000,877823999
2024-09-11-03-24-29,1,480,60.000000,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.450001,0.483333,12405.816406,127.283333,0.000000,r,850,2876,3415,3624,3833,4237,4594,4967,5351,5528,5634,5709,5792,5838,5891,5960,6041,6095,6246,6364,6364,6381,4468.292654,34124351.000000,7637,w,859,3449,4019,4245,4454,4837,5198,5558,5935,6141,6370,6524,6624,6678,6747,6828,6892,6925,6984,7050,7102,7134,5112.289237,3805327381.000000,744349,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,393,0.003530,3099723.000000,878054441
2024-09-11-03-24-29,1,540,59.999969,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.516693,0.500000,12421.956055,128.200058,0.000000,r,859,2855,3421,3644,3852,4241,4587,4956,5330,5512,5603,5683,5765,5807,5869,5957,6045,6103,6219,6374,6374,6506,4457.864145,34289891.000000,7692,w,817,3421,4003,4230,4439,4831,5197,5555,5936,6148,6366,6517,6614,6670,6739,6823,6890,6927,7007,8937,9221,9237,5105.399920,3805141352.000000,745317,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,390,0.003540,3107660.000000,877771229
2024-09-11-03-24-29,1,600,60.000000,/blk/h0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,48.400002,0.483333,12393.250000,126.983330,0.000000,r,835,2865,3444,3661,3880,4267,4640,4997,5398,5547,5637,5712,5788,5833,5886,5960,6034,6097,6277,6475,6475,6583,4485.262239,34173213.000000,7619,w,828,3424,4010,4246,4461,4850,5214,5574,5956,6161,6378,6528,6624,6677,6745,6830,6894,6927,6982,7039,7090,7123,5117.387180,3805263520.000000,743595,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,390,0.003531,3100482.000000,878076723
