hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-24-09,1,60,60.000210,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,34.266548,0.333332,8774.418945,89.549690,0.000000,r,71,251,2940,6996,7467,7847,8094,8345,8611,8761,8911,9104,9375,9541,9760,10175,10672,11419,13782,14174,14174,14335,6813.581426,36609373.000000,5373,w,12,21,3346,7238,7609,7976,8247,8502,8774,8927,9102,9307,9581,9762,10010,10441,11131,11911,13840,15153,15859,16514,6996.682903,3683522658.000000,526467,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,54,0.002512,2251634.000000,896354245
2024-09-11-03-24-09,1,120,60.000031,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,28.149986,0.283333,7209.229492,73.166626,0.000000,r,5765,7714,7970,8068,8165,8350,8527,8744,8968,9098,9251,9432,9696,9892,10134,10658,11432,12097,13062,14182,14182,14564,8651.415034,37979712.000000,4390,w,5534,7792,8068,8179,8282,8479,8675,8887,9129,9269,9431,9624,9888,10069,10327,10807,11595,12488,13993,14946,15736,16036,8788.990170,3801712854.000000,432554,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,495,0.002173,1953934.000000,899379918
2024-09-11-03-24-09,1,180,60.000000,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,28.200001,0.266667,7221.216797,72.516670,0.000000,r,6709,7720,7944,8047,8152,8335,8507,8709,8937,9081,9231,9405,9663,9871,10164,10682,11455,12431,14174,15334,15334,15444,8641.787405,37600417.000000,4351,w,5422,7785,8056,8167,8271,8470,8665,8876,9110,9243,9400,9591,9851,10031,10291,10786,11619,12636,14384,15453,15868,16241,8775.277984,3802091018.000000,433273,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,502,0.002175,1955820.000000,899180992
2024-09-11-03-24-09,1,240,59.999985,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.983341,0.283333,7165.235352,72.566689,0.000000,r,6369,7748,7983,8087,8180,8369,8555,8760,8973,9125,9287,9471,9731,9918,10188,10734,11598,12388,14078,14460,14460,14828,8682.435002,37803322.000000,4354,w,5755,7845,8120,8231,8334,8534,8730,8940,9181,9318,9479,9676,9937,10124,10385,10864,11674,12655,14288,15482,15755,15896,8843.369551,3801888377.000000,429914,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,492,0.002161,1943292.000000,899181383
2024-09-11-03-24-09,1,300,60.000015,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.866659,0.266667,7135.098145,72.033318,0.000000,r,6734,7780,8027,8135,8231,8425,8615,8816,9056,9184,9315,9503,9746,9875,10142,10582,11257,12111,13775,14299,14299,14622,8719.840120,37687149.000000,4322,w,5484,7873,8148,8260,8366,8568,8772,8986,9226,9364,9522,9713,9975,10158,10421,10903,11725,12774,14218,15302,15846,16019,8880.582582,3801830687.000000,428106,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,504,0.002151,1935194.000000,899526801
2024-09-11-03-24-09,1,360,60.000000,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.733334,0.266667,7100.383301,71.966667,0.000000,r,6482,7841,8091,8186,8287,8481,8674,8876,9107,9233,9380,9583,9827,10001,10244,10709,11635,12348,14048,15163,15163,15355,8785.945808,37937714.000000,4318,w,5824,7921,8199,8310,8414,8614,8816,9029,9269,9406,9567,9759,10017,10196,10451,10920,11726,12667,14521,15827,16326,16947,8924.186750,3801908812.000000,426023,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,498,0.002145,1929051.000000,899359962
2024-09-11-03-24-09,1,420,60.000031,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.799986,0.266667,7119.513184,72.449966,0.000000,r,6234,7800,8051,8154,8247,8426,8620,8814,9036,9175,9313,9505,9760,9910,10165,10577,11557,12882,14322,14732,14732,14860,8730.531171,37951619.000000,4347,w,5674,7903,8182,8293,8397,8597,8794,9000,9236,9370,9528,9720,9976,10157,10408,10899,11758,12757,14449,15568,16042,16210,8899.871487,3801767003.000000,427171,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,508,0.002151,1934175.000000,899167444
2024-09-11-03-24-09,1,480,59.999969,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.716681,0.266667,7099.653809,71.816704,0.000000,r,6105,7818,8080,8175,8271,8455,8655,8851,9084,9211,9347,9556,9793,9989,10230,10771,11672,12583,13485,14523,14523,14932,8763.922256,37763741.000000,4309,w,5401,7916,8201,8315,8422,8622,8822,9031,9266,9403,9559,9751,10012,10192,10457,10944,11747,12640,14558,15761,16252,16501,8925.159529,3801930531.000000,425979,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,493,0.002146,1930344.000000,899315531
2024-09-11-03-24-09,1,540,59.999969,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.816681,0.266667,7124.086914,71.316704,0.000000,r,6559,7795,8050,8159,8253,8431,8616,8830,9046,9176,9314,9485,9705,9902,10164,10583,11315,12217,14007,15170,15170,15232,8728.011919,37347163.000000,4279,w,5271,7887,8166,8277,8383,8582,8781,8991,9230,9370,9531,9728,9990,10177,10453,10954,11821,12746,14359,15654,16393,16684,8895.342046,3802269481.000000,427445,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,505,0.002155,1936810.000000,898944832
2024-09-11-03-24-09,1,600,60.000061,/blk/wd,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,27.683306,0.266666,7088.659668,71.499924,0.000000,r,6295,7830,8079,8183,8279,8465,8668,8859,9087,9216,9352,9526,9774,9961,10182,10566,11070,11719,12820,14312,14312,14508,8754.116317,37555159.000000,4290,w,5888,7952,8225,8336,8439,8635,8833,9041,9274,9409,9563,9751,10006,10192,10462,10956,11792,12756,14169,14880,15244,15742,8939.449593,3802126701.000000,425320,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,508,0.002142,1927366.000000,899793612
