hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-23-33,2,60,60.000084,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,77.233223,0.766666,19775.105469,199.683060,0.000000,r,72,697,880,958,1032,1174,1324,1480,1663,1760,1878,2020,2204,2324,2504,2762,3058,3359,4047,5116,5188,5337,1401.948168,16796741.000000,11981,w,7,833,1195,1380,1577,2101,3098,4122,4685,4919,5157,5423,5764,5979,6249,6650,7149,7567,8628,9630,10569,11065,3219.432054,3819881887.000000,1186508,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,70,0.005513,4695680.000000,851731423
2024-09-11-03-23-33,2,120,60.000023,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,76.133301,0.750000,19490.326172,195.666595,0.000000,r,196,665,847,923,999,1154,1313,1488,1692,1816,1954,2125,2353,2491,2693,2985,3322,3615,4317,4945,5886,6113,1426.189949,16743470.000000,11740,w,54,762,1099,1278,1475,2001,3129,4308,4804,5033,5286,5600,5996,6229,6509,6938,7498,7977,9134,10531,12520,12752,3268.496384,3822245041.000000,1169420,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,376,0.005601,4748268.000000,847800724
2024-09-11-03-23-33,2,180,60.000015,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,76.466644,0.750000,19575.812500,195.483276,0.000000,r,187,640,818,904,980,1130,1289,1475,1706,1835,1989,2170,2386,2533,2708,2996,3312,3632,4309,5031,5350,6946,1421.899736,16677462.000000,11729,w,91,681,995,1161,1344,1859,3107,4401,4859,5086,5350,5685,6092,6324,6591,6991,7557,8042,9156,10528,11893,12248,3254.426093,3822482913.000000,1174549,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,352,0.005640,4790048.000000,849321029
2024-09-11-03-23-33,2,240,59.999985,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,76.583351,0.766667,19608.138672,198.500046,0.000000,r,219,651,839,916,989,1136,1290,1462,1663,1791,1937,2120,2345,2486,2683,2971,3339,3649,4165,4854,4938,5416,1410.020823,16793348.000000,11910,w,105,723,1050,1222,1414,1942,3108,4322,4809,5037,5296,5616,6019,6254,6521,6913,7445,7923,9135,10552,13496,13988,3248.892454,3822282985.000000,1176488,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,370,0.005665,4794453.000000,846289969
2024-09-11-03-23-33,2,300,60.000015,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,76.866646,0.783333,19680.994141,202.383286,0.000000,r,200,657,837,914,988,1141,1296,1464,1673,1800,1934,2109,2334,2483,2679,2954,3247,3559,4186,4726,4733,5043,1410.626534,17129238.000000,12143,w,56,723,1051,1222,1411,1926,3084,4312,4799,5024,5282,5597,5988,6214,6483,6870,7396,7868,9074,10712,12423,13130,3236.550666,3821913219.000000,1180860,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,379,0.005695,4817276.000000,845950192
2024-09-11-03-23-33,2,360,59.999969,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,76.033371,0.750000,19467.576172,195.233429,0.000000,r,222,645,826,907,985,1135,1307,1492,1709,1834,1995,2169,2397,2543,2709,3014,3373,3679,4471,4770,5694,5754,1430.568977,16757685.000000,11714,w,84,693,1005,1167,1348,1851,3112,4431,4907,5142,5406,5722,6099,6320,6593,7011,7595,8119,9292,10824,11882,12899,3272.337501,3822266907.000000,1168054,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,361,0.005633,4769127.000000,846665492
2024-09-11-03-23-33,2,420,60.000000,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,77.416664,0.783333,19820.066406,202.733337,0.000000,r,211,666,842,916,993,1141,1292,1461,1663,1784,1940,2111,2352,2503,2687,2978,3329,3574,4413,5031,5178,5569,1413.501069,17193827.000000,12164,w,102,742,1091,1274,1477,2031,3020,4146,4696,4937,5195,5512,5927,6176,6478,6932,7548,8035,9115,10758,11943,12752,3213.794509,3821857285.000000,1189204,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,371,0.005738,4850626.000000,845343153
2024-09-11-03-23-33,2,480,60.000031,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,77.566628,0.766666,19860.423828,199.116562,0.000000,r,225,675,850,931,999,1144,1290,1455,1647,1764,1898,2072,2303,2430,2611,2905,3274,3627,4539,5591,5674,6637,1403.548506,16768194.000000,11947,w,22,786,1139,1318,1518,2049,3051,4143,4662,4887,5134,5432,5828,6075,6370,6805,7368,7859,9078,10955,13095,13908,3207.574953,3822229711.000000,1191626,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,394,0.005766,4872650.000000,845021762
2024-09-11-03-23-33,2,540,59.999939,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,75.633408,0.766667,19363.652344,196.400192,0.000000,r,203,651,833,916,994,1148,1320,1490,1708,1845,2007,2202,2414,2559,2727,3008,3355,3657,4428,5295,5324,5379,1438.017651,16945600.000000,11784,w,87,677,995,1158,1343,1860,3129,4478,4943,5172,5432,5746,6135,6363,6638,7049,7629,8112,9179,10202,10994,11576,3289.698636,3822031090.000000,1161818,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,358,0.005610,4750741.000000,846870001
2024-09-11-03-23-33,2,600,60.000000,/blk/intel1,1788,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,75.500000,0.750000,19331.900391,193.350006,0.000000,r,239,638,827,916,990,1143,1310,1495,1706,1838,1981,2164,2389,2537,2720,2993,3303,3581,4156,4924,4939,5472,1428.681321,16574132.000000,11601,w,71,690,1011,1176,1357,1869,3137,4450,4935,5171,5443,5770,6151,6373,6651,7071,7658,8197,9402,11092,12603,13442,3295.555954,3822561489.000000,1159914,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,380,0.005599,4742485.000000,846974936
