hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-23-53,3,60,60.000107,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.716293,2.099996,53178.187500,539.182373,0.000000,r,50,186,285,306,323,358,399,453,512,549,592,646,715,757,806,880,956,1014,1174,1654,1848,1868,432.468888,13990801.000000,32351,w,7,233,261,276,292,327,375,455,751,1558,2388,3209,3880,3940,4600,5820,5955,6000,6349,6576,6705,8163,1194.320825,3810715872.000000,3190697,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,88,148,0.014399,10811285.000000,750840930
2024-09-11-03-23-53,3,120,59.999992,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.500031,2.100000,53378.656250,539.016724,0.000000,r,50,185,286,307,326,360,401,454,515,550,595,650,720,764,814,889,970,1036,1193,1530,2291,6400,434.959525,14067026.000000,32341,w,73,231,259,273,289,325,373,454,735,1532,2372,3194,3880,3940,4625,5820,5955,6000,6348,6560,6689,6737,1189.723595,3810350361.000000,3202719,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,92,394,0.014857,11038565.000000,742974844
2024-09-11-03-23-53,3,180,59.999985,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.933380,2.066667,53233.332031,531.816772,0.000000,r,50,184,288,308,326,361,400,453,515,551,592,647,718,763,817,893,973,1035,1227,1663,2110,6001,435.018333,13881000.000000,31909,w,81,232,261,275,291,327,375,456,750,1551,2371,3201,3875,3940,4618,5820,5954,6000,6334,6576,8430,10194,1193.009493,3810471129.000000,3193999,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,91,310,0.014808,11011974.000000,743660177
2024-09-11-03-23-53,3,240,60.000046,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.933182,2.066665,53234.242188,530.016235,0.000000,r,50,187,287,308,326,361,400,450,512,549,595,652,721,765,820,896,976,1038,1214,1546,1785,2177,435.073708,13835779.000000,31801,w,38,233,261,276,291,327,374,454,747,1549,2377,3206,3880,3940,4615,5820,5955,6000,6333,6560,6624,6673,1193.092182,3810804434.000000,3194057,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,92,313,0.014819,11020789.000000,743688282
2024-09-11-03-23-53,3,300,59.999969,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.533432,2.083334,53131.308594,537.533630,0.000000,r,50,181,286,306,324,360,400,453,514,551,593,649,720,763,814,887,969,1039,1213,1582,1735,2055,433.915757,13994651.000000,32252,w,86,233,262,277,292,329,377,459,770,1564,2377,3199,3879,3930,4598,5820,5949,6000,6349,6592,10181,10380,1195.345365,3810613997.000000,3187877,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,308,0.014798,11003186.000000,743566309
2024-09-11-03-23-53,3,360,60.000000,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.449997,2.083333,53364.515625,536.950012,0.000000,r,50,184,286,308,326,359,399,451,514,550,594,649,721,768,822,896,974,1041,1192,1536,1807,1819,434.679269,14004062.000000,32217,w,84,233,261,276,291,327,375,455,741,1541,2370,3190,3870,3931,4593,5820,5940,6000,6317,6560,6637,6689,1190.093167,3810524798.000000,3201871,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,91,362,0.014864,11048617.000000,743328400
2024-09-11-03-23-53,3,420,60.000000,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.733337,2.083333,53182.500000,534.533325,0.000000,r,50,185,287,308,326,361,401,453,515,550,594,648,721,766,818,896,969,1031,1179,1462,1508,4715,435.068003,13953501.000000,32072,w,22,233,261,276,292,328,375,455,742,1546,2384,3206,3877,3940,4651,5820,5955,6000,6349,6575,7212,7757,1194.125516,3810394815.000000,3190950,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,92,347,0.014809,11014861.000000,743809093
2024-09-11-03-23-53,3,480,59.999969,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.933441,2.083334,53233.628906,535.333618,0.000000,r,50,181,286,307,325,360,400,452,514,549,590,644,715,761,815,897,974,1033,1203,1576,1708,1769,433.386177,13920364.000000,32120,w,48,233,261,275,290,326,374,454,744,1558,2379,3201,3879,3940,4619,5820,5955,6000,6333,6560,6656,6694,1193.074267,3810698297.000000,3194016,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,92,311,0.014829,11024918.000000,743455039
2024-09-11-03-23-53,3,540,60.000031,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,207.433228,2.083332,53105.421875,535.549744,0.000000,r,50,186,287,308,327,362,403,454,514,551,592,648,718,762,816,894,974,1033,1153,1572,2002,8113,435.366944,13989646.000000,32133,w,40,233,262,277,293,329,377,459,747,1551,2389,3212,3880,3940,4633,5820,5955,6004,6350,6600,10307,11713,1195.974310,3810765235.000000,3186327,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,91,336,0.014809,11011778.000000,743581792
2024-09-11-03-23-53,3,600,60.000000,/blk/k4,3576,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,208.016663,2.100000,53252.484375,538.049988,0.000000,r,50,189,287,308,326,361,400,450,512,548,589,644,716,760,812,890,968,1034,1209,1652,8275,8319,433.784283,14003858.000000,32283,w,81,233,261,276,291,328,375,456,739,1537,2378,3206,3880,3940,4633,5820,5955,6000,6350,6559,8281,8321,1192.676439,3810778931.000000,3195149,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,91,363,0.014848,11033549.000000,743081293
