hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-24-19,3,60,60.000050,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.599960,0.466666,11932.839844,119.649902,0.000000,r,71,2118,2301,2382,2461,2662,2893,3136,3393,3521,3646,3779,3922,4001,4101,4245,4387,4489,4658,4755,4755,4835,2955.003761,21213972.000000,7179,w,138,4712,4957,5043,5118,5252,5374,5492,5615,5678,5743,5814,5908,5967,6042,6157,6296,6417,6786,6935,7000,7638,5332.687214,3818049397.000000,715971,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,60,0.003544,3101803.000000,875333866
2024-09-11-03-24-19,3,120,60.000038,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.749969,0.466666,11970.909180,120.099922,0.000000,r,1253,2115,2298,2386,2466,2679,2917,3158,3398,3516,3635,3767,3903,3988,4094,4240,4392,4487,4640,4720,4720,4808,2961.514988,21340677.000000,7206,w,2917,4703,4943,5031,5104,5232,5347,5458,5576,5642,5713,5792,5888,5946,6022,6137,6279,6408,6785,6917,6966,6997,5315.855439,3818139748.000000,718255,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,411,0.003593,3134761.000000,872423370
2024-09-11-03-24-19,3,180,59.999985,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.650013,0.450000,11943.769531,119.000031,0.000000,r,662,2112,2301,2381,2461,2647,2876,3132,3375,3493,3606,3731,3878,3970,4078,4240,4426,4511,4708,4801,4801,4861,2940.441317,20994751.000000,7140,w,2159,4713,4953,5043,5119,5249,5364,5477,5597,5662,5733,5812,5908,5969,6046,6168,6311,6429,6789,6916,7014,7046,5328.358675,3818440364.000000,716626,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,379,0.003585,3127620.000000,872505341
2024-09-11-03-24-19,3,240,59.999954,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.400036,0.450000,11879.058594,117.566757,0.000000,r,1074,2120,2309,2388,2482,2679,2893,3128,3389,3503,3635,3765,3926,4003,4116,4261,4387,4469,4609,4823,4823,4889,2957.713071,20863708.000000,7054,w,3218,4740,4975,5061,5136,5265,5388,5506,5627,5691,5760,5841,5940,6000,6080,6198,6329,6457,6805,6920,6969,6986,5357.663159,3818636913.000000,712743,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,377,0.003564,3111378.000000,872964349
2024-09-11-03-24-19,3,300,60.000061,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.666618,0.466666,11950.071289,120.383209,0.000000,r,707,2108,2298,2380,2460,2652,2884,3144,3387,3511,3640,3762,3913,3990,4094,4244,4384,4471,4635,4881,4881,4950,2949.400388,21303519.000000,7223,w,2177,4713,4949,5035,5112,5244,5361,5477,5597,5660,5728,5804,5894,5950,6025,6141,6287,6411,6802,6931,7067,7083,5325.123125,3818139906.000000,717005,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,375,0.003587,3129018.000000,872439292
2024-09-11-03-24-19,3,360,60.000000,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.483334,0.466667,11900.299805,119.766670,0.000000,r,1210,2136,2316,2405,2497,2691,2920,3163,3397,3514,3631,3764,3927,4011,4120,4262,4427,4506,4675,4784,4784,4862,2971.975090,21356613.000000,7186,w,3087,4735,4974,5060,5133,5264,5379,5491,5611,5675,5745,5821,5915,5974,6052,6176,6323,6466,6802,6966,7016,7065,5347.369379,3818117989.000000,714018,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,383,0.003572,3117154.000000,872758990
2024-09-11-03-24-19,3,420,59.999939,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.633381,0.466667,11938.162109,119.966789,0.000000,r,942,2114,2304,2391,2476,2677,2919,3153,3395,3515,3639,3774,3930,4015,4121,4274,4417,4490,4637,4769,4769,4775,2965.634204,21346635.000000,7198,w,2852,4726,4959,5044,5119,5247,5361,5470,5590,5654,5723,5802,5895,5956,6033,6150,6293,6403,6833,6965,7029,7046,5330.425486,3818125141.000000,716289,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,391,0.003584,3127300.000000,872563285
2024-09-11-03-24-19,3,480,60.000031,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.383308,0.466666,11876.376953,119.866608,0.000000,r,840,2122,2319,2400,2482,2686,2910,3142,3390,3514,3643,3774,3921,4009,4108,4266,4415,4501,4702,4904,4904,4932,2965.169355,21325498.000000,7192,w,2369,4755,4992,5078,5151,5279,5391,5503,5618,5681,5748,5825,5916,5974,6045,6160,6320,6483,6788,6963,7029,7050,5358.162429,3818135458.000000,712583,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,376,0.003567,3112227.000000,872623391
2024-09-11-03-24-19,3,540,60.000061,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.666618,0.466666,11947.454102,120.249878,0.000000,r,1050,2111,2297,2384,2471,2664,2882,3120,3363,3481,3607,3739,3895,3984,4098,4236,4390,4479,4616,4809,4809,4884,2942.899792,21233022.000000,7215,w,2886,4714,4950,5036,5110,5239,5353,5468,5592,5658,5726,5804,5900,5960,6037,6164,6320,6458,6803,6949,7116,8591,5326.432771,3818242679.000000,716848,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,373,0.003585,3129535.000000,872843425
2024-09-11-03-24-19,3,600,60.000000,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.666668,0.466667,11947.083008,122.233330,0.000000,r,1107,2116,2298,2384,2474,2678,2916,3132,3372,3496,3622,3754,3903,3990,4092,4232,4391,4488,4643,4714,4714,4861,2955.009817,21672042.000000,7334,w,2997,4714,4952,5037,5110,5241,5358,5469,5588,5653,5723,5800,5893,5952,6028,6149,6294,6424,6800,6964,6999,7016,5325.955190,3817777829.000000,716825,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,374,0.003587,3129112.000000,872342517
2024-09-11-03-24-19,3,660,59.999939,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.550049,0.466667,11918.995117,120.000122,0.000000,r,1046,2123,2329,2405,2496,2700,2931,3159,3387,3501,3633,3767,3914,4006,4107,4256,4417,4480,4614,4758,4758,4826,2971.494861,21394763.000000,7200,w,2891,4734,4965,5048,5123,5255,5372,5484,5601,5663,5730,5808,5903,5962,6039,6157,6321,6472,6801,6914,6999,7014,5338.925887,3818074120.000000,715139,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,377,0.003578,3122059.000000,872536984
2024-09-11-03-24-19,3,720,60.000000,/blk/s0,894,uniform-shuffle,"",500000.000000,82500.000000,60,1,0.990000,46.450001,0.466667,11893.933594,119.716667,0.000000,r,1236,2120,2313,2396,2486,2684,2920,3155,3401,3533,3655,3780,3932,4015,4124,4262,4380,4469,4617,4806,4806,4833,2971.292496,21342794.000000,7183,w,2905,4733,4973,5061,5138,5268,5389,5501,5618,5680,5747,5824,5916,5974,6051,6168,6312,6426,6817,6949,6984,7015,5350.263529,3818140664.000000,713636,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,382,0.003571,3116480.000000,872784607
