hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-24-48,4,60,60.000092,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,71.316559,0.716666,18258.906250,183.683060,0.000000,r,105,207,227,234,241,256,270,287,309,322,341,365,410,444,493,565,646,702,1060,1723,1740,1761,294.392433,3244499.000000,11021,w,9,3356,3379,3388,3395,3410,3424,3439,3457,3467,3481,3499,3531,3574,3860,5160,5245,5288,5359,5467,5561,5606,3501.223753,3835716666.000000,1095536,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,182,0.005423,4615815.000000,851133650
2024-09-11-03-24-48,4,120,60.000004,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,72.499992,0.733333,18564.066406,189.933319,0.000000,r,91,206,226,233,240,254,268,284,302,314,331,352,387,419,480,556,634,677,988,1551,1709,1732,288.716216,3290210.000000,11396,w,3206,3385,3403,3410,3416,3428,3440,3452,3466,3474,3483,3494,3508,3517,3530,3551,3575,3591,3630,3675,3732,5890,3443.874449,3835938892.000000,1113844,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,352,0.005511,4683280.000000,849778813
2024-09-11-03-24-48,4,180,60.000000,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,72.750000,0.733333,18624.449219,187.966660,0.000000,r,86,207,226,232,240,255,268,283,300,312,327,346,380,414,467,550,619,668,783,1509,1553,1571,286.650115,3232840.000000,11278,w,3138,3366,3387,3396,3403,3417,3430,3444,3459,3467,3477,3488,3503,3513,3526,3546,3570,3587,3622,3670,3719,6577,3432.745527,3835979846.000000,1117467,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,322,0.005540,4705988.000000,849484839
2024-09-11-03-24-48,4,240,60.000000,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,72.750000,0.733333,18626.166016,188.166672,0.000000,r,107,206,225,232,240,255,268,283,303,315,329,350,386,419,478,556,643,686,894,1766,1767,1781,288.637555,3258718.000000,11290,w,3229,3372,3390,3398,3404,3417,3429,3441,3456,3464,3473,3484,3498,3507,3520,3540,3564,3582,3619,3670,3775,6784,3432.424413,3835974551.000000,1117570,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,320,0.005551,4713721.000000,849164334
2024-09-11-03-24-48,4,300,60.000015,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,73.016647,0.716666,18694.345703,186.799957,0.000000,r,99,206,225,232,239,254,267,283,302,315,329,349,386,421,478,553,631,674,857,1604,1678,1696,287.506692,3222375.000000,11208,w,3139,3358,3377,3384,3391,3404,3417,3430,3444,3452,3461,3472,3487,3496,3508,3528,3552,3570,3609,3650,3670,6635,3419.924491,3835995924.000000,1121661,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,318,0.005572,4730226.000000,848896153
2024-09-11-03-24-48,4,360,60.000000,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,73.033333,0.733333,18699.566406,191.066666,0.000000,r,113,206,225,232,239,254,267,283,302,313,328,347,381,414,469,544,620,677,915,1748,1826,1861,286.627617,3285899.000000,11464,w,3134,3358,3378,3385,3392,3404,3416,3428,3441,3449,3459,3470,3483,3493,3505,3525,3551,3568,3602,3657,3719,5476,3418.911835,3835930187.000000,1121974,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,315,0.005580,4735576.000000,848650791
2024-09-11-03-24-48,4,420,59.999969,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,73.100037,0.733334,18716.359375,189.216766,0.000000,r,112,205,225,231,239,253,266,281,300,312,327,347,381,412,465,541,623,683,813,1569,1830,1911,285.550603,3241856.000000,11353,w,3117,3358,3376,3383,3389,3401,3412,3424,3437,3445,3454,3465,3479,3488,3500,3520,3544,3561,3596,3638,3672,6237,3415.878583,3835966747.000000,1122981,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,326,0.005589,4742438.000000,848528074
2024-09-11-03-24-48,4,480,60.000031,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,73.233299,0.733333,18748.123047,189.033234,0.000000,r,97,204,223,231,238,253,266,281,299,310,324,343,378,409,463,540,612,669,806,1367,1435,1655,283.912273,3220133.000000,11342,w,3068,3353,3371,3378,3384,3395,3406,3418,3432,3439,3448,3458,3472,3481,3493,3512,3535,3553,3589,3633,3682,5987,3410.114579,3835996968.000000,1124888,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,324,0.005594,4746118.000000,848360456
2024-09-11-03-24-48,4,540,59.999969,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,73.266701,0.733334,18756.675781,190.533432,0.000000,r,98,204,223,230,238,252,266,281,298,310,324,345,377,409,459,548,624,676,835,1503,1506,1857,284.264521,3249712.000000,11432,w,3099,3351,3369,3376,3382,3394,3405,3417,3430,3438,3446,3457,3470,3479,3491,3511,3536,3553,3589,3635,3676,5267,3408.528927,3835958455.000000,1125400,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,316,0.005599,4749283.000000,848228866
2024-09-11-03-24-48,4,600,60.000000,/blk/mp0,745,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,73.250000,0.750000,18752.283203,192.899994,0.000000,r,110,205,225,232,239,254,267,282,301,313,327,347,382,415,470,547,628,679,806,1770,1954,2738,286.524019,3316229.000000,11574,w,3217,3352,3369,3376,3383,3394,3406,3417,3431,3439,3448,3459,3472,3481,3493,3513,3536,3552,3590,3636,3668,6171,3409.270051,3835895877.000000,1125137,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,318,0.005597,4748430.000000,848313379
