hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2024-09-11-03-24-39,5,60,60.000019,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,40.866653,0.416667,10464.580078,107.549965,0.000000,r,68,465,502,517,531,556,582,606,636,653,676,702,736,766,805,864,952,1015,1774,2021,2021,2051,595.971331,3845803.000000,6453,w,9,5993,6030,6044,6058,6081,6104,6127,6153,6168,6185,6205,6231,6248,6270,6308,6353,6383,6442,6520,6598,10907,6108.449688,3835342848.000000,627875,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,721,0.003170,2801396.000000,883635309
2024-09-11-03-24-39,5,120,59.999992,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.033340,0.400000,10504.634766,105.583344,0.000000,r,283,460,499,513,527,553,577,602,633,652,675,700,738,765,805,870,948,998,1110,1999,1999,2012,592.005367,3750354.000000,6335,w,5694,5974,6008,6023,6036,6058,6081,6103,6129,6142,6159,6181,6205,6222,6243,6282,6326,6358,6421,6542,6620,9620,6085.822800,3835760223.000000,630278,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,374,0.003190,2815641.000000,882565720
2024-09-11-03-24-39,5,180,59.999992,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.050007,0.400000,10512.351562,104.366676,0.000000,r,277,458,498,511,525,550,576,603,632,649,672,696,730,758,792,859,931,1000,1198,1867,1867,2007,589.271000,3690015.000000,6262,w,5694,5970,6004,6019,6031,6054,6077,6099,6124,6138,6155,6175,6199,6216,6238,6274,6316,6347,6418,6509,6558,6566,6081.434903,3835810332.000000,630741,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,352,0.003192,2816874.000000,882562063
2024-09-11-03-24-39,5,240,60.000000,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.066666,0.400000,10515.333008,104.666664,0.000000,r,236,457,498,511,526,552,579,601,632,650,674,698,738,769,811,874,945,994,1190,1961,1961,2181,591.254618,3713079.000000,6280,w,5711,5967,6003,6017,6029,6052,6075,6097,6123,6137,6153,6174,6198,6215,6238,6275,6317,6350,6419,6503,6559,6586,6079.662013,3835780357.000000,630920,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,356,0.003194,2819184.000000,882691380
2024-09-11-03-24-39,5,300,60.000000,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.099998,0.400000,10525.783203,106.383331,0.000000,r,265,459,497,509,524,549,575,599,631,647,671,700,736,765,806,865,944,999,1087,1488,1488,2132,588.997650,3759572.000000,6383,w,5722,5961,5996,6010,6022,6047,6068,6092,6117,6132,6148,6167,6193,6210,6232,6269,6314,6345,6414,6480,6536,10849,6073.566634,3835742787.000000,631547,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,352,0.003196,2820077.000000,882424350
2024-09-11-03-24-39,5,360,60.000000,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.133335,0.400000,10530.283203,105.466667,0.000000,r,278,457,498,511,526,551,577,602,631,648,671,698,732,761,799,858,928,977,1080,1846,1846,2159,589.317794,3729203.000000,6328,w,5676,5961,5995,6009,6021,6044,6066,6089,6113,6127,6144,6163,6188,6205,6228,6262,6305,6334,6401,6481,6522,11257,6071.013482,3835769525.000000,631817,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,346,0.003200,2823366.000000,882438866
2024-09-11-03-24-39,5,420,60.000031,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.033314,0.416666,10507.227539,107.999947,0.000000,r,264,465,500,514,527,554,580,604,636,655,676,701,738,762,797,860,937,1006,1367,1799,1799,1821,593.109259,3843348.000000,6480,w,5709,5972,6006,6021,6033,6055,6078,6101,6127,6141,6158,6179,6204,6222,6244,6282,6326,6358,6428,6503,6539,9313,6084.151323,3835655855.000000,630434,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,362,0.003194,2818511.000000,882366777
2024-09-11-03-24-39,5,480,59.999969,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.066689,0.400000,10514.122070,106.633385,0.000000,r,233,462,498,512,527,553,581,605,636,654,676,698,736,766,806,869,985,1061,1478,1941,1941,2109,593.883088,3799664.000000,6398,w,5673,5967,6003,6016,6029,6052,6076,6098,6124,6139,6155,6175,6200,6216,6239,6274,6316,6346,6405,6498,6543,6568,6080.221257,3835689339.000000,630847,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,353,0.003194,2818718.000000,882377035
2024-09-11-03-24-39,5,540,59.999969,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,41.000019,0.400000,10498.838867,106.166718,0.000000,r,296,462,499,513,528,554,580,604,637,657,677,703,740,770,810,871,949,1009,1131,2105,2105,2118,593.865463,3782923.000000,6370,w,5733,5977,6011,6025,6037,6061,6084,6107,6133,6147,6164,6183,6209,6226,6249,6285,6329,6361,6437,6529,6570,6704,6089.114222,3835715722.000000,629930,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,357,0.003191,2815944.000000,882379429
2024-09-11-03-24-39,5,600,60.000000,/blk/m0,894,uniform-shuffle,"",200000.000000,32500.000000,60,1,0.990000,40.833332,0.400000,10457.450195,104.699997,0.000000,r,253,463,502,516,532,557,583,607,639,657,679,707,740,769,811,867,955,1022,1107,1943,1943,2043,596.227953,3745504.000000,6282,w,5680,5996,6033,6048,6061,6085,6108,6133,6159,6174,6191,6211,6238,6255,6277,6313,6355,6387,6449,6536,6609,6643,6113.267970,3835751648.000000,627447,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,347,0.003177,2804823.000000,882801465
