hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-09-05-15-56-15,2,10,9.999939,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,354.702179,0.000000,90811.851562,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,589,590,590,602,1547,1651,1684,1787,1810,1840,1889,1999,2070,2149,2260,2373,2406,2828,6639,6751,6752,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,836
2024-09-05-15-56-15,2,20,10.000046,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,356.298370,0.000000,91223.679688,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,589,590,590,593,1541,1643,1679,1784,1810,1854,1910,2008,2070,2149,2247,2358,2393,2824,6226,6439,6444,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,206
2024-09-05-15-56-15,2,30,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,353.200012,0.000000,90434.796875,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,589,590,590,601,1553,1655,1688,1792,1814,1846,1895,2007,2070,2143,2262,2381,2559,2805,6152,6525,6527,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,168
2024-09-05-15-56-15,2,40,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,356.799988,0.000000,91347.898438,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,589,590,590,592,1532,1639,1674,1780,1802,1847,1928,2031,2093,2158,2313,2385,2504,2845,6395,6550,6583,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,194
2024-09-05-15-56-15,2,50,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,357.700012,0.000000,91578.000000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,589,590,590,592,1535,1638,1674,1779,1803,1837,1884,2002,2062,2151,2279,2369,2561,2814,6240,6550,6632,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,168
2024-09-05-15-56-15,2,60,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,354.000000,0.000000,90627.203125,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,588,589,590,596,1545,1648,1685,1789,1808,1840,1901,2011,2074,2162,2283,2384,2565,3088,6482,6554,6559,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,219
2024-09-05-15-56-15,2,70,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,350.299988,0.000000,89684.796875,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,588,589,590,601,1551,1657,1694,1798,1822,1872,1946,2059,2112,2191,2335,2441,2630,4149,6526,6809,6810,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,170
2024-09-05-15-56-15,2,80,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,352.200012,0.000000,90167.601562,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,589,590,591,597,1548,1651,1689,1792,1817,1865,1933,2049,2102,2164,2330,2406,2599,3599,6387,6468,6470,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,171
2024-09-05-15-56-15,2,90,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,350.000000,0.000000,89621.398438,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,589,590,590,599,1550,1650,1689,1797,1822,1871,1948,2066,2120,2188,2357,2581,2635,5430,6548,6563,6565,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,267
2024-09-05-15-56-15,2,100,10.000000,/blk/m0,372,uniform,"",0.000000,0.000000,1,1.000000,354.100006,0.000000,90658.796875,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,589,590,590,596,1538,1638,1680,1788,1807,1839,1898,2010,2092,2171,2334,2468,2631,3036,6424,6617,6637,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,275
