hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-09-05-15-56-23,3,10,9.999865,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,353.104767,0.000000,90413.421875,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,589,591,991,1226,1499,1561,1658,1717,1778,1814,1859,1981,2007,2100,2210,2332,2447,3682,7035,7039,7043,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,655
2024-09-05-15-56-23,3,20,10.000023,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,354.499176,0.000000,90753.289062,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,589,590,780,1205,1520,1565,1660,1722,1781,1814,1845,1977,2007,2094,2196,2330,2446,2781,7300,7326,7343,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,328
2024-09-05-15-56-23,3,30,10.000004,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,353.099854,0.000000,90416.765625,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,589,591,920,1225,1513,1559,1656,1725,1782,1818,1876,1984,2010,2119,2225,2364,2489,2891,7708,7722,7735,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,184
2024-09-05-15-56-23,3,40,10.000015,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,351.699463,0.000000,90041.062500,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,589,590,719,1215,1518,1570,1664,1734,1799,1834,1910,2002,2085,2174,2246,2404,2483,3702,7316,7324,9148,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,277
2024-09-05-15-56-23,3,50,9.999989,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,352.700409,0.000000,90313.804688,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,589,591,851,1225,1504,1559,1658,1726,1795,1828,1856,1983,2014,2129,2247,2423,2591,2989,7177,7186,8875,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,292
2024-09-05-15-56-23,3,60,10.000031,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,354.098907,0.000000,90662.320312,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,589,590,631,1200,1515,1567,1661,1731,1793,1821,1850,1985,2014,2158,2233,2350,2474,6744,7224,7229,7233,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,193
2024-09-05-15-56-23,3,70,10.000038,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,356.198639,0.000000,91189.648438,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,589,591,816,1204,1481,1546,1650,1720,1782,1817,1854,1976,2010,2127,2221,2349,2477,2764,7162,7164,8592,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,200
2024-09-05-15-56-23,3,80,9.999924,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,355.102722,0.000000,90926.992188,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,589,590,702,1193,1500,1560,1656,1723,1785,1814,1849,1980,2010,2141,2234,2404,2523,2979,6985,6994,6998,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,172
2024-09-05-15-56-23,3,90,10.000000,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,354.299988,0.000000,90717.398438,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,589,590,714,1195,1498,1560,1658,1728,1791,1824,1875,1985,2032,2169,2248,2408,2526,2968,7010,7021,8629,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,206
2024-09-05-15-56-23,3,100,10.000000,/blk/mp0,372,uniform,"",0.000000,0.000000,1,1.000000,358.700012,0.000000,91830.703125,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,589,590,727,1166,1471,1539,1644,1711,1766,1806,1847,1967,2003,2112,2217,2373,2490,2885,7264,7268,7270,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,9,192
