hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax
2024-08-30-18-48-44,0,10,9.999975,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1403.503540,0.000000,2807.007080,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,111,111,111,111,112,120,157,242,323,508,883,1219,1294,1385,1539,1730,1824,2022,2562,3298,3387,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,106
2024-08-30-18-48-44,0,20,9.999989,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1401.801636,0.000000,2803.603271,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,112,128,197,280,486,998,1278,1356,1424,1580,1727,1824,2011,2632,2669,3309,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,183
2024-08-30-18-48-44,0,30,10.000122,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1401.782837,0.000000,2803.565674,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,113,136,213,293,487,974,1257,1342,1407,1580,1742,1822,2030,2697,3081,3158,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,153
2024-08-30-18-48-44,0,40,9.999882,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1413.116699,0.000000,2826.233398,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,111,111,111,111,112,114,141,222,302,499,902,1238,1317,1403,1543,1736,1819,2028,2504,2717,2776,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,165
2024-08-30-18-48-44,0,50,9.999992,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1397.201050,0.000000,2794.402100,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,114,139,216,295,504,970,1255,1333,1408,1571,1758,1828,2059,2774,2850,2866,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,152
2024-08-30-18-48-44,0,60,10.000008,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1413.898926,0.000000,2827.897949,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,113,135,205,289,489,941,1244,1331,1412,1560,1733,1824,2042,2685,3123,3300,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,177
2024-08-30-18-48-44,0,70,9.999989,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1412.101562,0.000000,2824.303223,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,113,134,201,283,495,968,1254,1328,1400,1551,1705,1805,2056,2754,2860,3452,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,161
2024-08-30-18-48-44,0,80,9.999992,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1412.001099,0.000000,2824.102051,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,112,131,196,283,487,968,1256,1327,1408,1557,1742,1835,2041,2735,2785,3303,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,160
2024-08-30-18-48-44,0,90,10.000015,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1410.897827,0.000000,2821.795654,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,111,111,111,111,112,113,132,202,285,470,954,1262,1333,1408,1574,1730,1824,2061,2799,3127,3423,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,156
2024-08-30-18-48-44,0,100,10.000000,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1409.900024,0.000000,2819.899902,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,113,132,198,279,475,973,1263,1339,1416,1585,1727,1821,2062,2663,2758,3487,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,157
2024-08-30-18-48-44,0,110,10.000000,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1418.199951,0.000000,2836.399902,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,111,111,111,111,112,112,125,190,276,476,967,1257,1332,1408,1583,1744,1829,2017,2665,2904,3329,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,180
2024-08-30-18-48-44,0,120,10.000000,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1423.000000,0.000000,2846.000000,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,116,149,228,312,500,887,1195,1293,1382,1541,1712,1801,2023,2797,2908,3177,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,151
2024-08-30-18-48-44,0,130,9.999992,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1422.801025,0.000000,2845.702148,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,112,128,193,269,472,967,1258,1342,1410,1552,1730,1819,2041,2718,3092,3220,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,156
2024-08-30-18-48-44,0,140,10.000015,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1418.597778,0.000000,2837.195557,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,111,111,111,111,112,113,137,211,295,491,918,1231,1329,1403,1548,1743,1835,2043,2732,3336,3352,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,156
2024-08-30-18-48-44,0,150,10.000000,/blk/m0,894,sequential,"",0.000000,0.000000,1,1.000000,1408.599976,0.000000,2817.300049,0.000000,0.000000,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,111,111,111,111,112,113,134,199,282,478,974,1266,1340,1411,1568,1734,1823,2037,2562,2736,3362,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,162
