hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,60,60.000549,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,921.741577,0.000000,235968.718750,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,103,377,394,402,409,421,434,451,478,490,499,509,526,539,551,570,869,912,960,1064,2987,6378,449.051281,6357781642.000000,14158253,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,279,520,527,536,561,569,575,580,594,621,639,659,106.484011,59912164.000000,562640
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,120,59.999641,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,903.205383,0.000000,231221.109375,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,117,386,407,414,421,435,449,467,487,497,508,525,542,549,558,577,872,930,993,1117,5374,5951,461.037392,6396056569.000000,13873184,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,518,543,560,566,572,578,583,603,627,645,1099,94.933646,59907972.000000,631051
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,180,60.000351,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,842.828430,0.000000,215764.671875,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,109,413,428,434,440,453,465,478,497,519,531,541,551,557,566,920,1668,2221,3785,5014,5715,7409,503.063878,6512642836.000000,12945956,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,566,584,611,713,1.613285,57438183.000000,35603240
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,240,59.999786,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,277.167664,0.000000,70955.570312,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,106,372,422,434,445,468,500,552,1154,2151,3219,4300,5572,6386,7223,8489,9605,10027,10404,12197,12800,12868,1731.058720,7369669178.000000,4257319,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,568,684,0.036221,20334228.000000,561398062
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,300,59.999786,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,225.800797,0.000000,57807.324219,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,374,423,435,446,469,505,557,1559,2969,4344,5804,7413,8209,9048,9901,10793,11807,12799,13391,13493,13768,2141.523876,7427719233.000000,3468427,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,565,657,0.027180,16701176.000000,614464186
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,360,60.000000,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,229.216660,0.000000,58682.734375,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,57,374,423,434,446,469,502,554,1515,2969,4385,5821,7302,8054,8840,9629,10172,10276,11850,12800,13392,13488,2108.552970,7424139100.000000,3520964,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,565,646,0.027706,16928988.000000,611024130
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,420,60.000000,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,236.300003,0.000000,60495.199219,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,373,423,435,446,470,510,561,1612,2979,4277,5543,6834,7501,8348,9356,9966,10226,10518,10832,11028,11219,2043.268949,7416477822.000000,3629712,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,566,647,0.028994,17480145.000000,602881022
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,480,60.000000,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,252.216660,0.000000,64568.683594,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,47,371,421,433,444,467,502,554,1390,2662,3901,5121,6347,6976,7640,8874,9774,10110,10341,10832,11073,11223,1910.009420,7399607606.000000,3874121,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,565,694,0.031557,18537391.000000,587422809
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,540,60.000092,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,269.216248,0.000000,68920.843750,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,104,372,420,432,443,466,498,550,1250,2447,3608,4751,5908,6486,7084,7710,9200,9766,10240,10831,10893,11226,1784.497466,7379355637.000000,4135257,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,566,660,0.034500,19690540.000000,570732504
2025-01-24_23-32-50.744,k4-finalwa14rozipf,1,600,59.999878,/blk/k4,3576,uniform,"",0.000000,0.000000,60,1,1.000000,286.600586,0.000000,73372.765625,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,95,373,420,432,443,466,496,548,1155,2266,3361,4434,5530,6082,6651,7225,7655,7820,9638,10320,10832,11218,1671.617187,7359055623.000000,4402357,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,567,726,0.037867,20925588.000000,552612722
