hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,60,59.999847,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,257.433990,0.000000,65903.468750,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,117,966,1203,1323,1449,1680,1910,2126,2319,2419,2537,2691,2903,3048,3265,3687,4127,4598,5566,6537,7349,7712,1939.842603,7670521741.000000,3954198,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,20,637,0.032510,20271934.000000,623559487
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,120,59.999985,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,251.450058,0.000000,64371.949219,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,93,874,1056,1161,1288,1619,1991,2262,2457,2562,2681,2832,3039,3202,3486,3957,4770,5573,9369,13675,17712,19253,1985.988777,7670516229.000000,3862316,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,20,207,0.031250,19796795.000000,633496477
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,180,60.000000,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,39.066666,0.000000,10004.500000,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,6730,9796,10563,10900,11235,11929,12678,13447,14186,14561,14969,15403,15896,16216,16620,17256,18177,18910,19998,19998,19998,19998,12790.532799,7677773123.000000,600270,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,155,0.003426,3310665.000000,966310617
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,240,60.000015,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,28.349993,0.000000,7260.731445,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,13030,15888,16442,16660,16858,17227,17574,17925,18316,18533,18784,19083,19451,19684,19990,19998,19998,19998,19998,19998,19998,19998,17598.450200,7666659239.000000,435644,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,259,0.002665,2621071.000000,983443586
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,300,59.999969,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,27.183348,0.000000,6961.687012,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,14595,16890,17353,17536,17705,18027,18338,18652,18997,19188,19400,19650,19966,19998,19998,19998,19998,19998,19998,19998,19998,19998,18332.452788,7657483862.000000,417701,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,291,0.002435,2402416.000000,986641445
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,360,59.999969,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,27.750013,0.000000,7108.053711,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,13536,16416,16906,17105,17285,17616,17935,18270,18643,18847,19086,19365,19704,19930,19998,19998,19998,19998,19998,19998,19998,19998,17967.868119,7662990299.000000,426483,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,292,0.002471,2435230.000000,985618857
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,420,60.000061,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,29.166637,0.000000,7470.042480,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,13083,15559,16042,16231,16403,16724,17039,17365,17735,17941,18175,18458,18825,19072,19416,19933,19998,19998,19998,19998,19998,19998,17119.123513,7672842516.000000,448203,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,292,0.002655,2609950.000000,982900732
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,480,59.999939,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,30.800032,0.000000,7888.958008,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,12608,14729,15175,15351,15514,15814,16108,16414,16754,16952,17179,17454,17829,18093,18459,19083,19918,19998,19998,19998,19998,19998,16217.322267,7676258670.000000,473337,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,308,0.002719,2667272.000000,980881104
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,540,60.000031,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,32.683315,0.000000,8369.329102,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,11230,13762,14229,14411,14580,14887,15182,15490,15834,16032,16264,16543,16912,17166,17525,18171,19165,19878,19998,19998,19998,19998,15289.709129,7677880336.000000,502160,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,278,0.002876,2811504.000000,977503956
2025-01-24_23-12-51.714,wd-finalwa14rozipf,1,600,60.000000,/blk/wd,894,uniform,"",0.000000,0.000000,60,1,1.000000,34.299999,0.000000,8781.349609,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,7158,13123,13533,13700,13854,14146,14430,14726,15072,15270,15500,15780,16158,16422,16806,17501,18645,19436,19998,19998,19998,19998,14572.461653,7677953168.000000,526881,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,278,0.003039,2961189.000000,974236686
