hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,60,60.000122,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,425.799133,0.000000,109004.742188,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,358,816,861,889,928,1009,1076,1136,1200,1236,1277,1329,1408,1487,1812,2440,3393,4083,5454,7099,7991,8089,1149.888929,7520616263.000000,6540298,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,126,222,1386,0.061789,32206646.000000,521233090
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,120,59.999840,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,116.466980,0.000000,29816.996094,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,582,845,939,998,1048,1136,1237,1434,8447,8677,9842,10657,11384,11837,12412,13309,14551,15388,17186,18670,19090,19178,4275.832318,7649528155.000000,1789015,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,123,388,0.009709,9216108.000000,949239998
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,180,59.999939,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,51.116718,0.000000,13086.796875,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,3117,8446,8448,8451,8453,8899,9397,9849,10339,10609,10920,11279,11779,12113,12604,13627,14807,15487,16919,18379,19287,19288,9779.181676,7678681906.000000,785207,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,202,0.004220,4377936.000000,1037359099
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,240,60.000076,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,55.183262,0.000000,14127.615234,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,4599,8446,8446,8446,8447,8449,8452,8583,9074,9347,9655,10025,10528,10839,11330,12181,13314,14087,15756,17167,17418,17419,9058.452002,7678469307.000000,847658,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,226,0.004596,4711870.000000,1025226581
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,300,60.000000,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,59.633335,0.000000,15266.900391,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2464,7808,8444,8445,8446,8446,8446,8447,8450,8451,8452,8453,8458,8584,9083,9843,10800,11778,13457,15030,15839,15843,8382.200663,7678213158.000000,916014,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,275,0.004936,5007771.000000,1014483686
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,360,60.000000,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,64.449997,0.000000,16500.583984,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,1499,6417,7006,7232,7430,7808,8158,8444,8446,8446,8447,8448,8451,8452,8452,8456,8458,8463,9620,12550,12919,12920,7753.647879,7676382778.000000,990035,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,296,0.005347,5378947.000000,1005982593
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,420,60.000000,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,69.266670,0.000000,17733.599609,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,1720,5674,6219,6438,6637,7004,7358,7710,8082,8292,8445,8446,8447,8448,8451,8452,8457,8458,8494,8985,8991,8992,7213.131846,7674887694.000000,1064016,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,29,307,0.005765,5760861.000000,999214743
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,480,60.000000,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,73.800003,0.000000,18895.316406,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,1417,5069,5650,5879,6085,6481,6846,7209,7599,7804,8038,8301,8446,8446,8447,8452,8455,8457,8472,8555,8598,8657,6768.055351,7673072944.000000,1133719,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,44,340,0.006072,6096757.000000,1004006130
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,540,60.000000,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,79.283333,0.000000,20298.617188,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,1115,4547,5118,5360,5575,5971,6352,6720,7088,7280,7495,7744,8079,8304,8446,8448,8452,8454,8461,8532,8597,8674,6298.429651,7670964545.000000,1217917,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,51,336,0.006480,6474296.000000,999121639
2025-01-24_23-10-38.854,h0-finalwa14rozipf,2,600,59.999939,/blk/h0,894,uniform,"",0.000000,0.000000,60,1,1.000000,85.416756,0.000000,21867.439453,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,997,4134,4663,4893,5105,5505,5861,6218,6579,6777,6992,7238,7547,7763,8083,8446,8449,8452,8458,8499,8563,11420,5845.387267,7669411137.000000,1312045,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,59,328,0.007015,6946756.000000,990340746
