hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,60,59.999947,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,472.400421,0.000000,120937.687500,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,140,414,486,539,613,796,1013,1254,1427,1495,1562,1637,1726,1780,1847,1959,2176,2411,2857,3400,5586,6449,1050.404764,7622004823.000000,7256255,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,61,104,847,0.083738,34569343.000000,412826411
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,120,59.999969,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,480.266907,0.000000,122950.476562,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,156,415,490,544,615,793,998,1227,1398,1464,1526,1594,1679,1734,1803,1914,2116,2351,2806,3253,3958,4258,1032.964041,7620201557.000000,7377025,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,63,105,216,0.089339,35191569.000000,393912238
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,180,60.000031,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,478.949768,0.000000,122615.054688,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,118,414,488,543,617,798,1003,1229,1399,1465,1528,1598,1686,1743,1813,1921,2126,2366,2819,3428,4362,4845,1035.625566,7619000978.000000,7356907,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,64,107,242,0.088674,35146250.000000,396354522
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,240,59.999939,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,230.616898,0.000000,59039.710938,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,100,442,597,714,835,1109,1354,1534,1743,1980,2648,3929,5888,7032,8345,9763,11348,12293,14661,19998,19998,19998,2160.002977,7651549184.000000,3542379,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,81,221,0.024204,17308351.000000,715114886
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,300,60.000031,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,83.299957,0.000000,21324.921875,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,314,2198,2816,3078,3327,3902,5099,7241,8562,9071,9510,9947,10462,10785,11194,11866,12731,13389,14981,17142,18428,19368,5998.436423,7674975410.000000,1279496,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,26,185,0.007278,6551845.000000,900271531
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,360,60.000000,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,87.533333,0.000000,22411.000000,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,291,2041,2628,2901,3162,3751,5131,6947,7982,8424,8858,9330,9893,10245,10724,11479,12361,13034,14733,17469,18873,19710,5707.870815,7675145570.000000,1344660,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,27,197,0.007784,6973588.000000,895907762
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,420,60.000061,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,80.899918,0.000000,20711.179688,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,310,2366,2955,3188,3414,3974,5843,7958,8770,9111,9454,9828,10277,10560,10933,11541,12386,13067,14719,16672,18532,19998,6176.272465,7675080857.000000,1242672,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,26,197,0.007114,6426583.000000,903433748
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,480,59.999969,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,94.083382,0.000000,24087.562500,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,302,2036,2690,2953,3196,3751,4878,6330,7277,7664,8059,8491,9000,9297,9669,10216,10961,11581,13180,15405,17003,18035,5310.353948,7674804975.000000,1445253,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,27,225,0.008381,7422720.000000,885648562
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,540,59.999908,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,89.816803,0.000000,22995.335938,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,300,2006,2691,2958,3189,3655,4636,7185,7935,8277,8627,8993,9417,9674,10010,10543,11274,11937,13651,15736,16495,16752,5562.522373,7674712244.000000,1379718,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,28,190,0.008080,7210234.000000,892381609
2025-01-24_23-17-27.384,i1-finalwa14rozipf,3,600,60.000061,/blk/intel1,1788,uniform,"",0.000000,0.000000,60,1,1.000000,99.116570,0.000000,25375.324219,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,310,1891,2467,2711,2945,3435,4528,6283,7062,7373,7694,8053,8493,8772,9128,9679,10349,10849,12207,13654,14795,15526,5040.469674,7674220929.000000,1522521,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,29,190,0.008964,7892971.000000,880564659
