hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,60,59.999985,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,345.883423,0.000000,88546.554688,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,369,1411,1417,1418,1419,1420,1421,1422,1423,1424,1426,1446,1691,1773,1893,2039,2271,2396,2907,4246,5155,5435,1439.205807,7646201100.000000,5312792,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,35,163,1033,0.058611,27871812.000000,475538734
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,120,59.999992,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,344.600037,0.000000,88220.226562,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,428,1408,1417,1418,1419,1420,1421,1422,1423,1425,1426,1506,1724,1811,1927,2091,2321,2517,2995,5417,6272,6464,1444.154660,7644218222.000000,5293213,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,36,168,362,0.057365,27608964.000000,481281773
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,180,59.999985,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,154.683380,0.000000,39601.242188,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,404,1417,1420,1421,1423,1441,1913,2625,3830,4691,5675,6811,7724,7898,8423,8642,8763,8863,8897,8914,9206,9430,3227.627852,7669082621.000000,2376074,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,53,346,0.016429,12686399.000000,772199240
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,240,60.000015,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,55.416653,0.000000,14189.663086,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,6689,8836,8973,8996,9006,9030,9050,9065,9080,9088,9096,9102,9108,9114,9117,9124,9132,9135,9142,9493,9527,9548,9018.902430,7678513151.000000,851380,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,169,0.005190,4823959.000000,929412547
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,300,59.999985,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,57.150013,0.000000,14630.954102,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,6674,8551,8592,8633,8654,8711,8744,8800,8853,8872,8889,8919,8943,8952,8961,8973,8981,8990,8999,9246,9251,9264,8746.887322,7678516264.000000,877857,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,203,0.005364,4968689.000000,926269555
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,360,60.000000,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,60.733334,0.000000,15551.599609,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,7872,8018,8055,8102,8124,8183,8234,8287,8339,8356,8391,8415,8433,8446,8464,8486,8504,8507,8522,8529,8543,11028,8228.968283,7678417389.000000,933096,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,197,0.005742,5280855.000000,919693894
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,420,60.000031,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,64.799965,0.000000,16592.525391,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,6058,7522,7572,7588,7616,7661,7703,7752,7807,7824,7859,7884,7900,7916,7942,7963,7971,7979,7985,8264,8294,12462,7712.619558,7678313826.000000,995552,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,191,0.006077,5552045.000000,913549127
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,480,60.000000,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,68.800003,0.000000,17614.132812,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,5559,7102,7142,7161,7180,7221,7260,7298,7341,7365,7395,7411,7446,7452,7462,7471,7480,7485,7491,7751,7794,10412,7265.185884,7678197171.000000,1056848,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,205,0.006443,5844758.000000,907170487
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,540,60.000000,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,78.199997,0.000000,20022.933594,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,4723,5632,6106,6191,6335,6450,6519,6627,6658,6663,6672,6681,7032,7041,7050,7057,7066,7069,7078,7087,7099,10607,6390.958910,7677944651.000000,1201376,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,213,0.007600,6752261.000000,888451298
2025-01-24_23-11-30.054,m0-finalwa14rozipf,3,600,60.000000,/blk/m0,894,uniform,"",0.000000,0.000000,60,1,1.000000,76.333336,0.000000,19544.617188,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,5030,6434,6461,6482,6495,6523,6551,6578,6605,6619,6631,6642,6653,6656,6662,6667,6675,6679,6686,6747,6829,10813,6547.395467,7677980074.000000,1172677,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,179,0.007493,6672684.000000,890475150
