hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,60,59.999950,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,346.416962,0.000000,88686.609375,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,332,1408,1417,1418,1418,1420,1421,1422,1423,1424,1425,1436,1557,1643,1740,1880,2014,2141,2457,4684,6784,6971,1439.543155,7660085518.000000,5321192,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,31,81,1402,0.062027,28613767.000000,461311499
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,120,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,346.500000,0.000000,88704.929688,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,433,1408,1417,1418,1418,1420,1421,1422,1423,1424,1426,1438,1560,1641,1735,1875,2010,2150,2539,3697,5700,5896,1439.221801,7659964433.000000,5322296,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,31,82,328,0.061898,28579820.000000,461722139
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,180,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,346.533325,0.000000,88713.515625,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,450,1409,1417,1418,1418,1420,1421,1422,1423,1424,1426,1437,1553,1632,1721,1849,1983,2132,2582,3648,6854,7022,1439.282351,7661027932.000000,5322811,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,31,74,315,0.061915,28587303.000000,461719992
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,240,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,346.733337,0.000000,88764.500000,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,444,1409,1417,1418,1418,1420,1421,1422,1423,1424,1425,1435,1551,1633,1729,1869,1970,2074,2422,3406,4408,4639,1438.547885,7661519025.000000,5325870,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,31,74,335,0.062042,28598485.000000,460950719
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,300,59.999985,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,144.266708,0.000000,36935.175781,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,529,1755,2348,2617,2899,3368,3823,4119,4338,4410,4455,4490,4526,4542,4558,4597,4634,4652,4667,5036,9467,9520,3463.173777,7674774039.000000,2216110,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,29,212,0.015388,12010777.000000,780549965
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,360,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,110.366669,0.000000,28255.150391,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,4308,4441,4465,4475,4487,4510,4531,4554,4576,4585,4594,4602,4608,4612,4615,4621,4626,4630,4635,4850,4886,7939,4528.414744,7677062271.000000,1695309,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,171,0.011053,9223755.000000,834538792
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,420,60.000031,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,115.849937,0.000000,29658.167969,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,3244,4221,4242,4261,4273,4297,4318,4338,4359,4374,4384,4393,4402,4405,4409,4414,4419,4422,4427,4474,4642,6548,4314.112360,7676924118.000000,1779491,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,216,0.011791,9717820.000000,824142508
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,480,59.999969,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,122.016731,0.000000,31237.382812,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,3157,4019,4039,4047,4055,4075,4095,4113,4134,4142,4153,4168,4178,4182,4187,4194,4199,4203,4210,4330,4400,6529,4095.925383,7676755382.000000,1874242,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,179,0.012606,10253616.000000,813407937
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,540,59.999969,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,126.683395,0.000000,32434.617188,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2972,3876,3896,3905,3912,3927,3958,3976,3985,3988,3991,3994,3997,3999,4001,4005,4008,4011,4016,4035,4139,4714,3944.675354,7676638034.000000,1946076,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,171,0.013024,10516924.000000,807475942
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,600,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,134.616669,0.000000,34461.917969,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2869,3423,3722,3732,3739,3751,3763,3778,3802,3809,3817,3824,3832,3837,3842,3848,3854,3858,3864,3998,4018,6357,3712.525136,7676443912.000000,2067715,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,10,165,0.013970,11111461.000000,795378248
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,660,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,141.116669,0.000000,36130.035156,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,3355,3501,3515,3520,3525,3533,3541,3548,3557,3562,3567,3573,3579,3584,3596,3609,3620,3625,3632,3677,3740,5734,3541.031294,7676254722.000000,2167802,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,11,202,0.014881,11665504.000000,783919139
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,720,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,145.550003,0.000000,37261.500000,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2673,3370,3391,3399,3407,3421,3438,3450,3460,3466,3474,3482,3491,3496,3504,3514,3520,3523,3530,3620,3728,5823,3433.459855,7676151864.000000,2235690,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,12,197,0.015493,12030045.000000,776485891
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,780,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,151.899994,0.000000,38888.500000,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2607,3234,3248,3257,3267,3280,3292,3302,3316,3325,3332,3338,3344,3348,3352,3359,3366,3370,3376,3409,3483,5171,3289.737917,7675978380.000000,2333310,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,12,182,0.016357,12532190.000000,766172490
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,840,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,158.899994,0.000000,40682.250000,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2446,3090,3103,3111,3118,3130,3142,3159,3178,3183,3188,3192,3197,3200,3204,3211,3218,3221,3228,3353,3374,5214,3144.612515,7675794749.000000,2440935,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,12,176,0.017347,13094272.000000,754834924
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,900,60.000061,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,164.249832,0.000000,42051.890625,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2310,2998,3010,3016,3021,3034,3047,3055,3062,3066,3071,3077,3083,3086,3090,3095,3101,3104,3112,3239,3259,5142,3042.128636,7675643435.000000,2523116,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,15,171,0.018187,13561155.000000,745666590
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,960,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,170.166672,0.000000,43562.898438,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2286,2891,2900,2905,2912,2935,2945,2952,2957,2961,2965,2970,2976,2979,2984,2989,2995,2998,3004,3067,3141,4993,2936.554386,7675489505.000000,2613774,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,15,179,0.018997,13995897.000000,736728767
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,1020,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,170.699997,0.000000,43700.316406,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2688,2890,2913,2918,2922,2928,2933,2937,2942,2944,2947,2951,2954,2957,2959,2963,2967,2969,2974,3040,3126,4307,2927.301055,7675438984.000000,2622019,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,15,173,0.019113,14059796.000000,735606877
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,1080,59.999939,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,166.566833,0.000000,42644.644531,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2283,2961,2970,2974,2979,2988,2996,3005,3018,3025,3030,3036,3043,3049,3057,3065,3069,3072,3078,3140,3214,5158,2999.788353,7675486463.000000,2558676,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,15,171,0.018465,13711704.000000,742577439
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,1140,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,161.116669,0.000000,41246.398438,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2388,3063,3074,3079,3083,3091,3099,3109,3119,3124,3131,3138,3144,3147,3150,3154,3158,3161,3166,3179,3230,4909,3101.540069,7675641738.000000,2474784,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,14,192,0.017613,13243084.000000,751896295
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,1200,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,155.783340,0.000000,39882.132812,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2581,3159,3173,3180,3186,3197,3208,3216,3228,3238,3247,3253,3258,3260,3263,3268,3272,3275,3281,3288,3339,5151,3207.702692,7675801587.000000,2392928,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,14,173,0.016843,12806252.000000,760311569
2025-01-24_23-09-46.193,mp0-finalwa14rozipf,3,1260,60.000000,/blk/mp0,745,uniform,"",0.000000,0.000000,60,1,1.000000,149.983337,0.000000,38397.398438,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,2536,3287,3298,3303,3308,3329,3341,3347,3353,3356,3359,3363,3368,3372,3376,3381,3386,3389,3395,3503,3539,5108,3331.799865,7675947129.000000,2303844,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,13,162,0.016017,12334639.000000,770107007
