hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,60,59.999908,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,357.167206,0.000000,91437.171875,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,110,880,902,910,917,930,950,1279,1920,1932,1942,1950,1960,1965,1971,1979,1986,1991,2000,2006,2014,2030,1324.636606,7267250492.000000,5486222,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,387,1140,0.036508,23034827.000000,630946824
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,120,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,140.016663,0.000000,35847.984375,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,658,889,916,926,938,990,1923,1951,2664,3236,3730,10718,13111,13735,14281,14669,14929,15077,15367,16061,16680,17047,3518.841192,7568601625.000000,2150879,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,178,396,0.011774,9929943.000000,843352137
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,180,59.999977,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,37.050014,0.000000,9484.870117,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,5034,11826,12520,12725,12918,13295,13667,14018,14364,14507,14631,14760,14893,14973,15070,15210,15360,15455,15752,17471,17655,17669,13493.059976,7678792488.000000,569092,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,196,0.003504,3361408.000000,959189340
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,240,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,37.183334,0.000000,9522.849609,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,8552,11576,12489,12709,12899,13259,13625,13979,14333,14479,14604,14733,14878,14961,15063,15214,15390,15479,15713,17441,17602,19998,13439.781732,7679101528.000000,571371,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,255,0.003558,3410351.000000,958409891
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,300,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,37.583332,0.000000,9622.333008,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,7190,11396,12298,12546,12753,13137,13507,13877,14245,14410,14549,14674,14815,14905,15011,15160,15325,15421,15633,16810,17166,19175,13300.655931,7679000695.000000,577340,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,253,0.003516,3371287.000000,958743250
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,360,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,38.233334,0.000000,9791.666992,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,3918,11399,11883,12105,12335,12803,13242,13668,14023,14157,14287,14420,14567,14649,14756,14907,15069,15176,15435,15749,16410,16441,13070.767830,7679076100.000000,587500,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,250,0.003520,3372954.000000,958157475
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,420,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,38.633335,0.000000,9891.900391,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,4673,11291,11730,11925,12128,12586,13067,13523,13922,14061,14181,14303,14438,14516,14610,14739,14881,14975,15181,16953,17368,17389,12938.043032,7678909672.000000,593514,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,254,0.003556,3403777.000000,957254774
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,480,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,38.833332,0.000000,9942.200195,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,6157,11199,11675,11872,12075,12527,13007,13447,13851,14012,14145,14273,14413,14493,14582,14703,14842,14929,15139,16851,17349,17374,12872.515194,7678867234.000000,596532,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,268,0.003545,3395404.000000,957849712
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,540,59.999969,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,39.066685,0.000000,10003.671875,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,6111,11086,11605,11805,12006,12453,12935,13367,13782,13966,14112,14249,14390,14468,14561,14692,14834,14922,15176,16794,17467,17487,12793.750921,7679065178.000000,600220,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,251,0.003591,3435523.000000,956734044
2025-01-24_23-10-48.721,s0-finalwa14rozipf,3,600,60.000000,/blk/s0,894,uniform,"",0.000000,0.000000,60,1,1.000000,39.466667,0.000000,10107.183594,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,8392,10829,11416,11645,11863,12315,12804,13260,13671,13862,14020,14174,14335,14422,14523,14664,14812,14913,15172,16453,17223,17280,12662.632984,7679013183.000000,606431,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,245,0.003627,3465451.000000,955557767
