hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,60,59.999821,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1402.337524,0.000000,2804.675049,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,214,218,219,220,222,243,244,245,246,247,248,248,249,250,252,254,257,262,1603,3480,5472,5631,240.377294,40450691.000000,168280,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,140,6675,0.046991,26617581.000000,566435472
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,120,60.000053,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1412.215454,0.000000,2824.447510,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,214,218,219,221,231,233,235,242,244,245,246,247,248,249,252,256,267,274,1346,3589,5054,5190,237.884503,40313573.000000,169467,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,2716,0.046288,26395501.000000,570241381
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,180,59.999992,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1408.716797,0.000000,2817.433594,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,215,219,220,221,226,233,236,244,246,246,247,248,249,250,252,256,265,271,1197,3813,5381,6811,238.633248,40339996.000000,169046,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,140,4214,0.046888,26569602.000000,566665151
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,240,60.000000,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1373.250000,0.000000,2746.516602,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,216,242,244,245,245,246,246,247,248,248,249,250,252,254,255,260,270,277,963,2806,4761,5770,247.768968,40830096.000000,164791,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,5567,0.045732,26194257.000000,572774870
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,300,59.999985,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1405.916992,0.000000,2811.850830,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,215,218,219,219,220,240,244,245,246,247,248,248,249,251,253,256,268,277,1197,3568,5104,5366,239.293188,40371393.000000,168711,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,140,9455,0.047551,26777846.000000,563136944
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,360,60.000000,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1400.400024,0.000000,2800.816650,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,215,218,219,220,223,243,244,245,247,247,248,249,250,253,256,267,272,278,1132,3474,5167,5674,240.746050,40457133.000000,168049,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,140,6444,0.047092,26641351.000000,565726673
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,420,60.000000,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1395.766724,0.000000,2791.550049,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,215,218,219,220,236,244,245,246,247,248,249,251,255,256,259,265,278,292,1113,2707,4788,5012,241.912372,40518629.000000,167493,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,3606,0.047016,26600318.000000,565773574
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,480,60.000031,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1380.015991,0.000000,2760.048584,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,215,218,220,235,243,245,246,247,248,249,251,255,262,268,279,297,307,316,1145,2926,4587,6261,245.995628,40737614.000000,165603,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,3322,0.045982,26274495.000000,571410054
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,540,60.000000,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1405.616699,0.000000,2811.233398,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,203,218,220,225,233,234,237,243,245,246,247,248,249,250,254,261,278,298,1199,3076,4883,5716,239.261333,40357166.000000,168674,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,4726,0.046530,26464217.000000,568750073
2025-02-06_03-26-37.019,h0-finalwa28znstrim,0,600,59.999939,/blk/h0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1397.284790,0.000000,2794.569580,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,215,218,220,221,236,244,245,246,247,248,248,249,250,252,254,257,269,290,1253,3379,5115,5297,241.662220,40520471.000000,167674,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,6217,0.046701,26520733.000000,567885325
