hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,60,59.999977,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1763.734009,0.000000,3527.468018,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,141,155,160,161,161,163,163,164,166,167,168,170,173,176,182,201,300,413,692,1104,1354,1475,167.316894,35412286.000000,211648,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136,141,4245,0.074108,33426172.000000,451047901
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,120,60.000084,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1771.064209,0.000000,3542.128418,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,160,160,161,161,161,162,164,165,165,167,168,171,174,179,190,281,387,634,1023,1418,1566,166.120831,35305328.000000,212528,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,136,142,4985,0.074986,33568964.000000,447668430
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,180,60.000008,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1780.633057,0.000000,3561.282959,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,143,159,160,160,161,162,163,164,165,166,168,171,173,179,200,303,400,646,1030,1201,2387,164.621962,35175927.000000,213677,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,136,141,3866,0.075560,33705197.000000,446069388
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,240,59.999908,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1779.119385,0.000000,3558.255371,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,143,148,159,160,160,161,163,164,164,165,167,171,173,181,228,342,441,716,1142,1475,1869,164.857008,35196147.000000,213495,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,136,141,4164,0.075309,33647226.000000,446790888
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,300,60.000015,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1775.449585,0.000000,3550.899170,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,143,146,158,160,161,162,163,165,165,167,169,173,178,184,228,340,455,732,1241,1585,2379,165.423982,35244241.000000,213054,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,136,141,4481,0.075127,33603039.000000,447280585
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,360,60.000000,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1706.416626,0.000000,3412.833252,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,160,161,162,162,163,164,165,167,168,170,173,181,197,253,346,462,549,777,1129,1308,1762,176.841593,36211853.000000,204770,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,3611,0.069012,32372812.000000,469091829
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,420,60.000000,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1691.599976,0.000000,3383.216553,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,143,146,156,160,161,163,164,166,168,170,176,206,251,308,413,544,643,881,1216,1451,1853,179.386870,36414279.000000,202993,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,4836,0.067492,32025664.000000,474508947
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,480,60.000000,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1752.550049,0.000000,3505.100098,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,146,161,162,162,164,164,165,166,167,168,170,173,176,184,246,361,456,698,1050,1276,1468,169.001117,35541949.000000,210306,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136,142,4359,0.073429,33300486.000000,453506666
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,540,60.000031,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1731.915771,0.000000,3463.831543,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,144,160,160,161,162,163,164,166,167,169,172,180,188,227,322,439,538,766,1125,1428,2517,172.513501,35853481.000000,207830,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,4422,0.071072,32796022.000000,461445731
2025-02-06_03-32-26.544,i1-finalwa28znstrim,0,600,60.000061,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1709.681641,0.000000,3419.379883,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,145,160,161,161,162,164,165,167,168,172,178,190,204,254,350,463,571,847,1272,2043,4173,176.194255,36148542.000000,205163,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,7407,0.069227,32413258.000000,468219335
