hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,60,59.999962,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1875.851196,0.000000,3751.718994,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,112,116,118,122,154,157,157,158,159,161,164,165,169,171,173,179,204,216,229,285,741,758,150.202347,33810999.000000,225103,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,137,142,9219,0.086219,35631423.000000,413266041
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,120,59.999989,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1902.017090,0.000000,3804.034180,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,116,117,119,122,154,154,156,158,159,161,164,167,169,173,184,205,213,235,287,754,1348,146.566828,33452706.000000,228242,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,137,142,6493,0.088873,36071451.000000,405877130
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,180,59.999977,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1815.984009,0.000000,3631.984619,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,121,154,156,156,157,157,158,161,164,165,169,172,175,178,188,213,220,256,295,605,728,157.031186,34220079.000000,217919,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,137,178,5414,0.083448,35024457.000000,419715040
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,240,59.999985,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1844.483765,0.000000,3688.984375,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,116,139,153,153,155,157,157,160,162,164,167,171,174,178,187,209,217,248,288,588,763,152.643967,33786063.000000,221339,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,139,180,5340,0.087195,35642608.000000,408767181
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,300,60.000000,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1849.166626,0.000000,3698.350098,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,101,117,145,153,154,157,157,158,160,162,164,166,170,172,176,184,211,218,244,289,584,691,153.474112,34056059.000000,221901,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,138,156,9795,0.084287,35280004.000000,418568030
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,360,60.000000,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1873.733276,0.000000,3747.466553,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,110,116,119,137,153,156,157,158,160,162,164,166,170,172,176,186,208,216,245,295,740,776,150.294848,33793496.000000,224848,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,138,144,5395,0.086606,35689312.000000,412087087
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,420,60.000000,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1917.849976,0.000000,3835.699951,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,116,117,117,119,152,154,155,157,158,160,162,166,169,172,186,205,214,233,293,709,775,144.262403,33200838.000000,230142,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,137,142,5084,0.091174,36431324.000000,399578726
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,480,60.000122,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1930.329346,0.000000,3860.658691,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,116,116,117,118,123,152,155,157,158,160,164,168,171,178,190,206,214,240,308,726,777,142.510063,33011031.000000,231640,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,136,142,8867,0.092275,36605067.000000,396696338
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,540,59.999939,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1897.785278,0.000000,3795.587158,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,115,116,119,124,154,156,157,158,160,163,165,168,170,174,181,195,213,233,283,679,917,147.169710,33515694.000000,227735,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,136,141,5283,0.087878,35907973.000000,408612014
2025-02-06_03-47-28.377,k5-finalwa28znstrim,0,600,60.000000,/blk/k5,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1872.699951,0.000000,3745.399902,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,116,119,151,153,156,156,157,159,161,163,165,169,171,175,191,216,223,232,286,739,776,150.661794,33857321.000000,224724,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,137,142,7518,0.085339,35481230.000000,415767670
