hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,60,59.999916,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1425.251953,0.000000,2850.503906,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,150,174,175,175,175,176,178,179,182,186,219,298,402,479,552,697,878,996,1258,6101,6251,6533,234.307139,40073550.000000,171030,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,142,15657,0.069249,27124798.000000,391700098
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,120,60.000057,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1445.598633,0.000000,2891.197266,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,137,164,174,175,175,175,176,178,181,184,211,286,385,456,536,681,865,971,1258,6124,6354,6817,229.329921,39782320.000000,173472,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,142,11836,0.070187,27328067.000000,389361464
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,180,59.999985,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1444.833740,0.000000,2889.667480,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,162,163,164,164,168,175,176,179,184,221,300,408,478,563,712,885,1000,1275,6005,6269,6718,229.660117,39818471.000000,173380,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,11455,0.068378,26930140.000000,393840230
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,240,59.999939,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1442.518188,0.000000,2885.052979,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,136,139,141,152,155,163,167,175,178,184,241,333,440,519,605,746,916,1053,1354,6048,6354,6500,230.120645,39834574.000000,173103,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,11523,0.067046,26624793.000000,397109669
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,300,60.000122,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1363.197266,0.000000,2726.411133,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,174,179,209,236,238,239,240,240,241,241,242,274,348,436,612,839,975,1295,3375,4161,4255,250.254968,40937959.000000,163585,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,11696,0.063102,25721275.000000,407616149
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,360,59.999908,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1371.418701,0.000000,2742.837402,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,175,185,235,237,239,239,240,240,241,241,242,246,296,396,577,800,947,1329,3586,4214,5429,248.177080,40842502.000000,164570,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,11424,0.063772,25884678.000000,405894430
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,420,59.999969,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1377.317383,0.000000,2754.634766,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,176,233,236,238,239,240,240,240,241,241,242,244,265,351,516,734,871,1211,3583,4330,5086,246.719781,40777352.000000,165278,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,10389,0.064967,26162175.000000,402702496
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,480,60.000031,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1379.615967,0.000000,2759.248535,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,177,235,237,238,239,240,240,240,241,241,242,244,262,340,484,674,795,1137,3706,4165,4772,246.016091,40729194.000000,165555,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,12257,0.064403,26030510.000000,404180970
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,540,59.999939,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1383.851440,0.000000,2767.702881,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,179,236,237,238,239,240,240,240,241,241,241,243,247,313,450,626,752,1029,3602,4246,4295,244.928996,40673399.000000,166062,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,11527,0.065506,26286586.000000,401286108
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,600,60.000061,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1383.981934,0.000000,2767.963867,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,181,236,237,238,239,240,240,240,241,241,241,243,246,309,426,588,708,1005,3541,3990,4251,244.895561,40671765.000000,166078,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,11153,0.065548,26304084.000000,401295406
2025-02-06_03-24-48.746,mp0-finalwa28znstrim,0,660,59.999939,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1384.568115,0.000000,2769.136230,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,179,237,238,238,239,240,240,240,241,241,241,243,247,317,448,608,732,1048,3586,4172,4424,244.754267,40665432.000000,166148,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,11661,0.065359,26256192.000000,401720778
