hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,60,59.999912,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1440.135498,0.000000,2880.270996,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,177,203,204,204,205,206,207,212,239,242,245,247,248,250,252,555,557,557,559,575,577,588,231.804879,40059592.000000,172816,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,135,5348,0.045437,26153195.000000,575592085
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,120,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1438.550049,0.000000,2877.116699,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,192,194,196,214,215,216,219,224,227,238,266,270,271,273,542,574,575,576,589,593,594,232.154281,40076097.000000,172627,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,137,5059,0.048722,27189132.000000,558043689
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,180,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1438.566650,0.000000,2877.133301,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,192,198,213,214,215,217,220,224,226,232,260,269,271,273,496,570,574,575,586,594,715,231.844110,40022785.000000,172628,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,5456,0.049003,27255426.000000,556198119
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,240,60.000015,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1435.399658,0.000000,2870.799316,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,171,198,207,214,214,216,218,220,224,227,234,243,262,265,271,495,549,567,570,572,588,645,231.828445,39931986.000000,172248,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,142,5017,0.048446,27081263.000000,558995236
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,300,59.999985,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1440.050415,0.000000,2880.117432,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,196,204,206,208,214,216,218,220,223,230,241,250,262,266,533,550,566,568,571,585,587,230.225865,39784641.000000,172807,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,141,4993,0.047782,26861903.000000,562177009
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,360,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1439.966675,0.000000,2879.949951,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,200,203,204,206,207,212,217,224,236,240,242,245,260,265,546,550,564,568,570,586,587,230.360099,39805534.000000,172797,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,140,4950,0.046488,26464327.000000,569267707
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,420,60.000031,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1440.182617,0.000000,2880.381836,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,183,202,203,203,204,205,207,209,240,244,246,248,250,251,260,554,558,560,569,579,586,597,231.648901,40034258.000000,172823,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,133,5541,0.045255,26055790.000000,575760423
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,480,60.000061,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1439.298584,0.000000,2878.597168,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,173,202,203,204,204,207,217,218,222,237,245,248,251,252,269,550,557,558,572,576,675,909,231.986301,40067746.000000,172716,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,136,5454,0.046641,26523362.000000,568671572
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,540,59.999878,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1438.336304,0.000000,2876.672607,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,194,214,215,215,216,217,219,223,225,227,234,263,269,273,540,547,572,575,586,593,611,232.206466,40078836.000000,172600,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,137,5017,0.049071,27277739.000000,555884972
2025-02-06_03-25-58.505,s0-finalwa28znstrim,0,600,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1437.599976,0.000000,2875.199951,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,171,193,203,204,204,214,215,219,227,237,246,251,268,270,274,543,569,573,575,590,653,735,232.306860,40075721.000000,172512,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,139,6087,0.047622,26851864.000000,563854913
