hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,60,60.029602,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1091.728027,0.000000,2183.456055,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,232,251,260,266,268,270,272,275,281,288,314,371,455,513,604,844,1462,2389,2947,4062,5270,5572,335.616440,43989918.000000,131072,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,142,19998,0.032555,20974354.000000,644282976
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,120,59.970276,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,1110.150024,0.000000,2220.300049,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,242,248,252,254,261,269,271,274,280,286,313,368,450,504,580,778,1306,2340,2925,3740,5281,5427,329.103145,43820742.000000,133152,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,141,19998,0.033412,21360954.000000,639318874
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,180,60.000008,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,844.916565,0.000000,1689.849731,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,243,266,269,270,271,272,275,280,295,332,390,465,592,724,1141,2190,4016,5601,19146,19998,19998,19998,465.319318,47179191.000000,101391,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,141,19998,0.022467,16361133.000000,728226014
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,240,59.999985,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,469.083466,0.000000,938.183594,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,243,253,269,270,272,276,286,353,474,558,670,979,1933,2267,2691,6378,13876,19998,19998,19998,19998,19998,906.161269,51008724.000000,56291,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,140,19998,0.010771,9206210.000000,854686537
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,300,60.000031,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,499.133087,0.000000,998.282837,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,243,252,267,269,271,274,281,326,435,516,624,841,1864,2231,2673,3717,12844,19998,19998,19998,19998,19998,842.564302,50467074.000000,59897,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011629,9800046.000000,842738467
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,360,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,491.083344,0.000000,982.183350,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,244,262,269,271,272,275,282,330,440,515,615,804,1756,2154,2560,3477,15938,19998,19998,19998,19998,19998,849.695576,50073410.000000,58931,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011411,9648896.000000,845559228
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,420,59.999969,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,503.916931,0.000000,1007.850525,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,243,268,270,272,273,276,283,333,442,518,622,835,1844,2208,2644,3637,12242,19998,19998,19998,19998,19998,833.669511,50412829.000000,60471,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011799,9914605.000000,840263046
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,480,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,509.066681,0.000000,1018.133362,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,244,256,270,271,273,276,286,347,471,555,650,835,1738,2196,2608,3382,11982,19998,19998,19998,19998,19998,822.110496,50221086.000000,61088,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011960,10023647.000000,838108549
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,540,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,491.000000,0.000000,982.016663,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,244,263,270,272,273,278,293,375,509,593,699,946,1864,2301,2640,3506,12380,19998,19998,19998,19998,19998,858.545951,50586386.000000,58921,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011438,9664123.000000,844906922
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,600,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,497.166656,0.000000,994.349976,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,243,268,271,272,273,278,287,336,454,538,640,825,1703,2154,2560,3478,13570,19998,19998,19998,19998,19998,843.025209,50295727.000000,59661,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011543,9756790.000000,845226985
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,660,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,449.100006,0.000000,898.216675,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,244,269,271,272,273,276,282,321,422,494,597,810,1889,2252,2715,7430,19998,19998,19998,19998,19998,19998,935.665318,50425811.000000,53893,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.010331,8871914.000000,858765391
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,720,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,500.433319,0.000000,1000.866638,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,243,267,270,271,272,275,280,313,414,492,601,788,1739,2175,2547,3387,14887,19998,19998,19998,19998,19998,833.776610,50069953.000000,60052,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011660,9822027.000000,842347418
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,780,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,458.066681,0.000000,916.133362,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,254,259,261,262,263,267,279,354,475,559,672,996,2040,2396,2734,4064,18497,19998,19998,19998,19998,19998,923.670772,50772335.000000,54968,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,133,19998,0.010149,8751757.000000,862286376
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,840,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,513.450012,0.000000,1026.916626,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,235,259,261,262,263,268,275,325,439,521,627,856,1813,2175,2560,3358,11791,19998,19998,19998,19998,19998,814.065974,50158675.000000,61615,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,137,19998,0.011606,9784184.000000,843030080
2025-02-06_03-27-58.962,wd-finalwa28znstrim,0,900,60.000000,/blk/wd,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 32768",0.000000,0.000000,60,1,1.000000,496.483337,0.000000,992.966675,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,244,267,271,272,274,278,290,352,477,563,667,908,1849,2223,2615,3518,12704,19998,19998,19998,19998,19998,845.100775,50349414.000000,59578,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,19998,0.011578,9763735.000000,843329118
