hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,60,59.999939,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,869.284241,0.000000,1738.585083,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,141,164,168,170,177,248,338,431,540,608,693,796,943,1048,1205,1483,1867,2171,2886,3592,4030,4214,461.505862,48141984.000000,104315,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,137,7777,0.021891,16388209.000000,748619906
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,120,59.999989,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,303.550049,0.000000,607.100098,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,128,229,430,518,616,820,1048,1335,1707,1975,2309,2786,3472,4386,5259,5835,6394,6842,7759,8658,9426,10600,1533.084445,55844134.000000,36426,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128,5527,0.006263,5828868.000000,930736223
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,180,59.999977,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,574.150208,0.000000,1148.300415,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,150,153,155,157,180,278,401,577,719,939,1313,2025,2579,3361,4972,5867,6373,7630,8986,10883,12235,757.186987,52168669.000000,68898,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,131,7609,0.012363,10502211.000000,849505208
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,240,60.000015,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,959.533081,0.000000,1919.082886,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,149,162,164,166,177,248,344,443,510,591,699,852,969,1140,1488,2034,2448,3156,4148,4704,5088,407.579304,46930719.000000,115145,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,137,5284,0.024882,17958562.000000,721742438
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,300,60.000076,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,847.148926,0.000000,1694.314453,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,147,150,153,154,155,162,221,311,427,502,604,752,997,1223,1616,2467,3438,4958,6594,7871,8551,9770,476.762116,48467160.000000,101659,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,131,2231,0.019854,15254501.000000,768329615
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,360,59.999939,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,909.750916,0.000000,1819.518555,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,154,161,163,165,200,290,394,501,570,655,758,903,1009,1174,1494,1999,2418,3051,6581,7241,19517,436.130044,47612753.000000,109171,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,134,3798,0.022380,16649632.000000,743962578
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,420,60.000031,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1141.149414,0.000000,2282.315430,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,150,163,164,165,169,181,253,353,403,462,545,658,736,844,1032,1294,1540,3730,6282,7267,7747,324.696471,44463610.000000,136939,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,2931,0.032216,21349959.000000,662721362
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,480,60.000122,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1176.464233,0.000000,2352.928467,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,141,156,161,162,164,168,196,267,357,401,453,521,616,680,769,909,1084,1223,1521,2007,2407,2915,310.383443,43818693.000000,141176,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,146,4178,0.034579,22239243.000000,643152248
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,540,59.999786,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1104.137207,0.000000,2208.291260,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,160,162,163,165,169,188,267,372,421,484,567,678,755,860,1050,1336,1574,4780,6985,7317,7540,336.799354,44624904.000000,132497,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,156,6114,0.032140,21133286.000000,657543992
2025-02-12_10-57-10.056,i1-finalwa30znstrimzonesize8GBz1to32,0,600,60.000061,/blk/intel1,1788,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1176.982178,0.000000,2353.964355,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,140,149,162,164,165,168,175,215,303,360,414,487,599,683,808,1066,1456,1835,3536,6082,6625,6973,308.779316,43611373.000000,141238,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,160,4446,0.035577,22540439.000000,633568823
