hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,60,59.999886,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1875.386963,0.000000,3750.790527,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,112,117,140,153,155,157,158,158,160,163,165,166,169,171,174,181,212,220,232,274,590,813,153.271046,34493189.000000,225047,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,134,139,6573,0.081302,34932533.000000,429661820
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,120,59.999962,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1891.417847,0.000000,3782.852295,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,116,120,145,148,154,155,157,159,161,163,166,171,175,182,196,211,218,247,289,634,772,150.716395,34208251.000000,226971,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,134,147,3135,0.082917,35218960.000000,424752021
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,180,60.000023,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1912.582642,0.000000,3825.181885,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,116,118,122,146,154,156,157,158,159,160,163,165,167,170,175,204,217,226,343,746,815,148.003577,33968449.000000,229511,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,133,139,6406,0.084162,35446582.000000,421169841
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,240,60.000000,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1982.316650,0.000000,3964.649902,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,115,116,116,117,119,140,155,157,157,158,161,164,165,168,173,194,212,224,638,808,1443,138.938351,33050516.000000,237879,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,134,138,4200,0.092303,36763981.000000,398297280
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,300,60.000015,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1910.816162,0.000000,3821.648926,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,116,120,142,144,154,155,156,158,158,160,162,165,167,169,175,196,213,225,268,637,796,148.386299,34024830.000000,229299,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,133,138,3003,0.083562,35347961.000000,423016603
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,360,60.000000,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1923.300049,0.000000,3846.600098,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,116,120,127,142,151,154,156,157,158,159,161,164,166,169,175,202,213,227,275,788,811,146.650358,33846316.000000,230796,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,133,138,7060,0.083955,35403576.000000,421697040
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,420,59.999969,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1921.017700,0.000000,3842.052002,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,99,116,119,126,145,153,154,155,157,158,159,161,164,165,168,171,184,208,222,362,788,947,146.827943,33847218.000000,230523,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,133,139,3186,0.084398,35481610.000000,420409204
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,480,60.000061,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1858.398071,0.000000,3716.812988,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,120,154,154,154,155,156,158,161,162,164,166,170,173,181,192,207,215,240,268,654,809,155.698124,34722083.000000,223009,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,134,139,4430,0.079546,34620733.000000,435229729
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,540,59.999939,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1898.835205,0.000000,3797.687256,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,112,116,119,124,153,155,157,157,159,161,163,165,169,171,178,196,213,220,244,281,764,778,150.038326,34187883.000000,227861,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,133,138,3050,0.083444,35264675.000000,422613610
2025-02-12_11-09-34.278,k4-finalwa30znstrimzonesize8GBz1to32,0,600,60.000122,/blk/k4,3576,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1923.112793,0.000000,3846.225586,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,111,115,117,119,140,153,154,156,157,158,161,163,166,168,172,181,198,212,228,281,803,1175,146.699451,33854419.000000,230774,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,133,138,4112,0.085200,35610177.000000,417960498
