hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,60,59.999912,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1435.068726,0.000000,2870.137451,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,150,154,174,175,175,176,177,178,180,181,185,290,453,523,615,764,928,1062,1359,4294,4646,5076,234.661828,40410644.000000,172208,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,139,12711,0.047373,26909213.000000,568024994
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,120,60.000004,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1446.016602,0.000000,2892.049805,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,153,160,163,164,174,175,176,179,180,185,299,448,520,613,765,934,1069,1379,4207,4575,4729,232.107749,40276033.000000,173523,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,7814,0.046959,26775055.000000,570180748
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,180,59.999985,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1390.400391,0.000000,2780.800781,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,155,175,177,180,239,241,242,243,243,244,244,257,357,493,683,891,1024,1350,2038,4502,4722,246.007792,41045908.000000,166848,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,7273,0.044561,26008707.000000,583663430
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,240,60.000000,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1378.416626,0.000000,2756.833252,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,175,204,238,240,241,242,243,243,243,244,244,245,247,328,604,828,965,1368,3107,4458,6132,248.486228,41102107.000000,165410,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,142,7591,0.044207,25845265.000000,584645253
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,300,60.000122,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1382.597168,0.000000,2765.194336,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,177,238,239,241,242,242,243,243,243,244,244,245,246,262,539,796,936,1345,3176,4211,4552,248.015213,41148700.000000,165912,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,138,11678,0.044297,25920598.000000,585154642
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,360,59.999847,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1370.920166,0.000000,2741.856934,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,138,175,191,205,238,241,242,243,243,243,244,244,245,247,282,538,771,909,1362,2983,3761,4140,243.638006,40081132.000000,164511,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,231,12544,0.048178,26955382.000000,559491661
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,420,60.000092,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1382.647949,0.000000,2765.295898,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,177,238,239,241,242,242,243,243,243,244,244,245,246,284,528,757,898,1327,3034,3745,3865,247.971709,41142970.000000,165918,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,11626,0.043609,25689604.000000,589094002
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,480,59.999939,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1379.734741,0.000000,2759.486084,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,177,229,239,240,242,242,243,243,243,244,244,245,247,315,548,779,913,1361,3210,4249,5146,248.801793,41193864.000000,165569,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,7863,0.043990,25823226.000000,587021858
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,540,60.000031,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1380.249268,0.000000,2760.498535,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,175,222,239,240,242,242,243,243,243,244,244,245,248,315,564,799,950,1400,3057,3803,3914,248.386989,41140337.000000,165630,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,7614,0.043516,25650964.000000,589466942
2025-02-12_10-49-02.495,m0-finalwa30znstrimzonesize8GBz1to32,0,600,59.999939,/blk/m0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1379.668091,0.000000,2759.336182,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,137,176,225,238,240,242,242,243,243,243,244,244,245,247,296,554,794,951,1382,3285,4681,6264,248.108837,41076899.000000,165560,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,142,7645,0.044069,25796737.000000,585370804
