hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,60,59.999939,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1423.801392,0.000000,2847.602783,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,152,176,177,177,177,178,179,181,184,187,224,302,402,476,547,695,877,985,1268,5937,6042,6063,236.466065,40401646.000000,170856,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,12112,0.059938,27007904.000000,450600671
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,120,60.000000,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1444.949951,0.000000,2889.899902,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,155,175,176,176,177,178,180,183,187,221,301,395,471,542,681,857,962,1244,5935,6032,6073,231.387776,40121252.000000,173394,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,141,7852,0.061410,27367877.000000,445661150
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,180,60.000015,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1443.782959,0.000000,2887.565918,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,156,164,165,167,175,176,178,182,193,231,307,409,476,560,699,871,979,1285,5962,6049,6061,231.674513,40138536.000000,173254,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,140,12683,0.059433,26877547.000000,452233512
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,240,59.999969,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1441.300781,0.000000,2882.601562,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,155,175,176,176,177,178,180,184,191,227,302,394,467,540,684,859,970,1268,5934,6032,6388,232.222317,40164243.000000,172956,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,7600,0.060735,27206452.000000,447951399
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,300,60.000046,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1363.215576,0.000000,2726.431152,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,150,175,180,210,237,240,241,242,242,243,243,244,283,357,443,612,812,951,1336,2158,4103,4990,252.111568,41241923.000000,163586,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,140,7121,0.054616,25657916.000000,469783925
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,360,60.000000,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1374.416626,0.000000,2748.833252,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,138,166,225,238,239,241,241,242,242,243,243,243,247,283,380,545,783,929,1303,3702,4067,4148,249.108749,41085506.000000,164930,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,139,7998,0.053744,25426389.000000,473100365
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,420,60.000031,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1374.666016,0.000000,2749.332031,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,138,177,227,238,239,241,241,242,242,243,243,243,247,276,364,516,737,885,1209,3576,4156,5344,248.924242,41062543.000000,164960,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,7075,0.055391,25855515.000000,466778146
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,480,59.999969,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1381.650757,0.000000,2763.301514,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,138,180,237,239,240,241,241,242,242,243,243,243,245,257,323,459,629,742,1026,3530,4257,4425,246.824141,40922949.000000,165798,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,7875,0.055399,25848448.000000,466586601
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,540,60.000000,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1384.916626,0.000000,2769.850098,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,182,237,239,240,241,241,242,242,243,243,243,245,248,302,437,602,723,995,3710,4129,4905,246.163511,40910160.000000,166191,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,141,7211,0.057286,26349401.000000,459963821
2025-02-12_10-47-28.749,mp0-finalwa30znstrimzonesize8GBz1to32,0,600,59.999939,/blk/mp0,745,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1376.768066,0.000000,2753.552734,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,151,179,237,239,240,241,241,242,242,243,243,244,247,271,347,477,681,818,1130,3511,3944,4103,248.351280,41030860.000000,165213,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,141,7468,0.056236,26083123.000000,463815719
