hash,prefix,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,threadStatsInterval,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,r,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,ravg,rtot,rcnt,w,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,wavg,wtot,wcnt,s,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax,savg,stot,scnt,c,cmin,c10p,c20p,c25p,c30p,c40p,c50p,c60p,c70p,c75p,c80p,c85p,c90p,c92p5,c95p,c97p5,c99p,c99p5,c99p9,c99p99,c99p999,cmax,cavg,ctot,ccnt
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,60,59.999870,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1440.153076,0.000000,2880.306152,0.000000,0.000000,r,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,w,183,205,207,213,214,216,217,219,227,230,234,246,252,255,260,549,559,561,563,578,582,582,234.307838,40492612.000000,172818,s,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,134,2974,0.046179,26519796.000000,574284220
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,120,59.999996,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1440.200073,0.000000,2880.416748,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,183,202,203,203,203,204,206,208,249,252,255,256,258,260,261,561,563,563,564,580,582,582,234.284733,40490259.000000,172825,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,128,3037,0.043751,25709208.000000,587626151
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,180,60.000015,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1439.282959,0.000000,2878.565918,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,171,192,193,194,209,215,216,219,230,234,242,274,278,279,281,550,579,580,581,597,599,631,234.489567,40499631.000000,172714,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,134,3116,0.047040,26797124.000000,569670476
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,240,60.000031,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1435.649292,0.000000,2871.298584,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,192,203,214,215,216,219,224,228,235,241,264,277,279,282,524,578,579,580,595,598,627,235.081078,40499298.000000,172278,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,137,2966,0.047157,26830572.000000,568961027
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,300,59.999985,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1438.433716,0.000000,2876.867432,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,171,191,192,192,193,199,215,221,231,254,274,278,279,280,282,572,580,580,581,596,599,600,234.507902,40478878.000000,172612,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,137,3027,0.047481,26930139.000000,567173966
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,360,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1436.266724,0.000000,2872.550049,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,158,192,199,206,214,215,217,220,224,229,241,259,274,279,308,542,579,580,595,1060,1199,1202,234.463496,40410487.000000,172353,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,139,2659,0.046644,26661663.000000,571597485
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,420,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1430.316650,0.000000,2860.649902,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,157,199,208,214,215,216,218,220,223,225,228,242,263,273,308,544,574,581,801,1089,1205,1288,235.076527,40348300.000000,171639,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,139,3110,0.046211,26525037.000000,573992567
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,480,60.000000,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1428.183350,0.000000,2856.383301,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,171,206,215,216,218,220,222,225,233,235,237,241,253,271,298,508,546,559,577,591,2850,7363,235.870326,40424164.000000,171383,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,3089,0.046308,26561684.000000,573585862
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,540,59.999969,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1439.850708,0.000000,2879.718018,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,172,214,216,217,217,219,219,221,222,223,224,227,233,262,272,536,545,557,576,577,672,820,233.204279,40293735.000000,172783,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,138,3111,0.047404,26916041.000000,567795966
2025-02-12_10-48-36.551,s0-finalwa30znstrimzonesize8GBz1to32,0,600,60.000061,/blk/s0,894,zns-noshuffle,"activeZones: 1 pagesPerZone: 16384",0.000000,0.000000,60,1,1.000000,1437.765259,0.000000,2875.530518,0.000000,0.000000,r,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,w,171,204,214,215,215,217,218,220,226,229,231,235,253,258,278,547,556,563,580,633,844,1106,234.647544,40484210.000000,172532,s,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,0,0.000000,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,134,2799,0.046797,26705345.000000,570668834
