hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-07-12-55-17,3,20,20.000032,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,196.999680,0.000000,50444.566406,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,2046,2296,2404,2493,2603,2718,2783,2857,2924,2981,3019,3077,3132,3209,3282,3404,3482,3668,3887,3992,4039,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,40,20.000004,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.449966,0.000000,52341.640625,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,2494,2584,2640,2686,2759,2797,2859,2952,2995,3021,3065,3144,3194,3241,3332,3446,3511,3674,3877,3993,4164,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,60,19.999992,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.750076,0.000000,52423.320312,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,2492,2577,2630,2680,2757,2795,2855,2950,2994,3017,3061,3130,3182,3234,3320,3433,3491,3639,3807,3952,4022,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,80,19.999996,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.600037,0.000000,52385.660156,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,2493,2581,2634,2683,2756,2795,2854,2951,2994,3020,3062,3136,3188,3239,3331,3449,3523,3723,4003,4154,4308,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,100,20.000008,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.949921,0.000000,52468.179688,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,2490,2575,2626,2677,2748,2793,2849,2946,2991,3017,3059,3126,3180,3235,3323,3442,3510,3680,7667,10302,10515,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,120,19.999992,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.450073,0.000000,52340.218750,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,2495,2590,2644,2688,2762,2798,2859,2951,2994,3021,3063,3144,3199,3243,3334,3452,3544,3722,4001,4254,4318,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,140,20.000015,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.699844,0.000000,52409.808594,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,2491,2576,2632,2682,2754,2794,2854,2948,2992,3016,3059,3130,3183,3237,3332,3453,3538,3718,3924,4052,4164,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,160,20.000000,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.750000,0.000000,52417.851562,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,2493,2579,2631,2680,2752,2794,2853,2948,2992,3017,3061,3132,3185,3236,3325,3443,3512,3693,3886,4028,4167,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,180,19.999985,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.650162,0.000000,52400.789062,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,2493,2579,2630,2681,2753,2795,2853,2951,2994,3020,3062,3131,3186,3240,3329,3445,3516,3685,3893,4109,4285,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07-12-55-17,3,200,20.000015,/dev/nvme1n1,3492,uniform,"",0.000000,1.000000,204.499847,0.000000,52356.058594,0.000000,0.000000,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,2494,2583,2638,2687,2759,2799,2862,2955,2997,3023,3065,3141,3190,3242,3330,3448,3516,3679,3873,4031,4251,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
