fillfactor,greedy,2alpha
0.1,0.999905,0.555555555555556
0.11,0.999799,0.561797752808989
0.12,0.999815,0.568181818181818
0.13,0.999802,0.574712643678161
0.14,0.999807,0.581395348837209
0.15,0.999801,0.588235294117647
0.16,0.999799,0.595238095238095
0.17,0.999804,0.602409638554217
0.18,0.999807,0.609756097560976
0.19,0.999789,0.617283950617284
0.2,0.999774,0.625
0.21,1.016038,0.632911392405063
0.22,1.017709,0.641025641025641
0.23,1.01901,0.649350649350649
0.24,1.02028,0.657894736842105
0.25,1.021729,0.666666666666667
0.26,1.023661,0.675675675675676
0.27,1.026354,0.684931506849315
0.28,1.030343,0.694444444444444
0.29,1.03495,0.704225352112676
0.3,1.038838,0.714285714285714
0.31,1.045719,0.72463768115942
0.32,1.051721,0.735294117647059
0.33,1.058516,0.746268656716418
0.34,1.065827,0.757575757575758
0.35,1.073762,0.769230769230769
0.36,1.082594,0.78125
0.37,1.092389,0.793650793650794
0.38,1.103087,0.806451612903226
0.39,1.112595,0.819672131147541
0.4,1.120986,0.833333333333333
0.41,1.130885,0.847457627118644
0.42,1.141108,0.862068965517241
0.43,1.15206,0.87719298245614
0.44,1.164044,0.892857142857143
0.45,1.177013,0.909090909090909
0.46,1.191092,0.925925925925926
0.47,1.205844,0.943396226415094
0.48,1.221456,0.961538461538462
0.49,1.237849,0.980392156862745
0.5,1.254278,1
0.51,1.272412,1.02040816326531
0.52,1.290736,1.04166666666667
0.53,1.30948,1.06382978723404
0.54,1.330071,1.08695652173913
0.55,1.351514,1.11111111111111
0.56,1.374419,1.13636363636364
0.57,1.39864,1.16279069767442
0.58,1.423785,1.19047619047619
0.59,1.450426,1.21951219512195
0.6,1.47893,1.25
0.61,1.50837,1.28205128205128
0.62,1.539943,1.31578947368421
0.63,1.573272,1.35135135135135
0.64,1.608422,1.38888888888889
0.65,1.646017,1.42857142857143
0.66,1.686345,1.47058823529412
0.67,1.728773,1.51515151515152
0.68,1.77429,1.5625
0.69,1.82262,1.61290322580645
0.7,1.873485,1.66666666666667
0.71,1.929739,1.72413793103448
0.72,1.989145,1.78571428571429
0.73,2.053473,1.85185185185185
0.74,2.123073,1.92307692307692
0.75,2.197453,2
0.76,2.279081,2.08333333333333
0.77,2.36864,2.17391304347826
0.78,2.465238,2.27272727272727
0.79,2.571733,2.38095238095238
0.8,2.688969,2.5
0.81,2.818472,2.63157894736842
0.82,2.963251,2.77777777777778
0.83,3.124703,2.94117647058823
0.84,3.305636,3.125
0.85,3.512788,3.33333333333333
0.86,3.747549,3.57142857142857
0.87,4.021264,3.84615384615385
0.88,4.337644,4.16666666666667
0.89,4.713985,4.54545454545455
0.9,5.170586,5
